program,code,wall_s
torchref,1A0F,208.576
torchref,1A46,223.120
torchref,1A4I,510.297
torchref,1A7V,152.829
torchref,1AJ6,97.483
torchref,1AK5,225.641
torchref,1ANU,219.272
torchref,1APX,337.116
torchref,1AQZ,196.083
torchref,1B9K,1108.059
torchref,1BIA,127.642
torchref,1BM7,100.789
torchref,1BX0,131.235
torchref,1BXE,109.367
torchref,1BYW,101.979
torchref,1C3F,130.107
torchref,1CI0,922.171
torchref,1CSM,1731.597
torchref,1DAW,245.878
torchref,1DLM,460.426
torchref,1DQ3,743.753
torchref,1DQ8,1608.038
torchref,1E79,2024.799
torchref,1EJ1,251.061
torchref,1EJH,1686.101
torchref,1ETE,272.284
torchref,1EZW,421.092
torchref,1F97,166.082
torchref,1FG3,497.276
torchref,1FIO,176.337
torchref,1FKM,953.871
torchref,1FSI,1363.874
torchref,1GHW,136.627
torchref,1GPQ,290.123
torchref,1GQ8,166.480
torchref,1GUI,164.214
torchref,1GYJ,94.289
torchref,1H8V,392.867
torchref,1HN0,337.330
torchref,1HNO,206.598
torchref,1HTN,145.302
torchref,1I1N,225.179
torchref,1I3A,188.299
torchref,1IDQ,415.917
torchref,1IKN,247.128
torchref,1ITK,411.730
torchref,1J3P,157.468
torchref,1J53,166.440
torchref,1J5W,335.992
torchref,1J8B,118.186
torchref,1JAC,904.111
torchref,1JAD,3077.406
torchref,1JN9,332.635
torchref,1JU3,2783.209
torchref,1K6D,1518.824
torchref,1K7T,317.687
torchref,1L9X,966.049
torchref,1LNZ,294.150
torchref,1M6E,209.962
torchref,1N6J,167.005
torchref,1O4V,181.897
torchref,1O5T,532.076
torchref,1O6D,125.509
torchref,1OBR,341.071
torchref,1OC0,213.273
torchref,1OE4,486.338
torchref,1OMW,711.312
torchref,1OSC,274.070
torchref,1OY5,328.788
torchref,1P3C,198.874
torchref,1P4X,459.678
torchref,1PG3,234.003
torchref,1PJR,272.148
torchref,1PXZ,180.039
torchref,1Q15,380.884
torchref,1QB5,365.911
torchref,1QD9,404.648
torchref,1QJV,276.736
torchref,1QZN,204.662
torchref,1R1K,240.815
torchref,1R3U,136.758
torchref,1RFX,174.839
torchref,1RHC,242.217
torchref,1RJ1,90.284
torchref,1RJD,829.709
torchref,1RKG,217.976
torchref,1RZN,303.383
torchref,1S1C,164.917
torchref,1SO2,475.568
torchref,1SOT,330.651
torchref,1T3I,328.685
torchref,1TE5,250.709
torchref,1TGS,179.754
torchref,1TML,128.128
torchref,1TVL,233.972
torchref,1UEF,140.299
torchref,1UJK,185.191
torchref,1UKV,359.995
torchref,1UTB,339.459
torchref,1UVQ,233.185
torchref,1V8Q,159.278
torchref,1VB3,340.160
torchref,1VCE,236.156
torchref,1VDD,279.589
torchref,1VER,75.688
torchref,1VK0,699.255
torchref,1VLM,145.279
torchref,1VR4,456.261
torchref,1W2Y,247.498
torchref,1W8A,117.090
torchref,1WD8,376.115
torchref,1WDV,260.932
torchref,1WLZ,266.643
torchref,1WTJ,460.304
torchref,1WTY,256.906
torchref,1WU2,624.646
torchref,1WV8,213.968
torchref,1WW9,353.335
torchref,1X1Q,298.258
torchref,1X6O,579.759
torchref,1XVS,2772.362
torchref,1XX1,3009.300
torchref,1Y7O,608.716
torchref,1Y8Q,1004.440
torchref,1YEM,295.096
torchref,1YK3,569.184
torchref,1YMQ,155.368
torchref,1Z05,242.947
torchref,1Z3X,388.227
torchref,1ZEJ,341.704
torchref,1ZJ8,422.736
torchref,1ZKL,1248.376
torchref,1ZZ0,1341.356
torchref,2A25,124.339
torchref,2A3V,516.377
torchref,2A9S,208.759
torchref,2ACJ,265.983
torchref,2AE0,783.369
torchref,2AG0,3461.421
torchref,2AHR,681.793
torchref,2AP2,205.587
torchref,2AQ4,271.231
torchref,2B2N,589.147
torchref,2B3X,304.677
torchref,2B5E,233.239
torchref,2B7O,579.872
torchref,2BON,235.773
torchref,2BTY,288.236
torchref,2C8X,160.331
torchref,2C90,146.357
torchref,2CB4,845.139
torchref,2CCH,687.682
torchref,2CCM,193.416
torchref,2CKL,225.407
torchref,2CZV,279.808
torchref,2D0T,262.992
torchref,2D68,121.777
torchref,2DOB,91.048
torchref,2DQ6,4191.161
torchref,2DRY,962.203
torchref,2DX6,545.661
torchref,2E1M,528.688
torchref,2EO4,141.175
torchref,2EU9,1513.317
torchref,2EXU,100.634
torchref,2F1F,287.815
torchref,2F2E,237.055
torchref,2F8L,191.702
torchref,2F9I,1473.759
torchref,2F9Z,1019.515
torchref,2FEX,321.493
torchref,2FFF,653.704
