structure,device,n_threads,torchref_mean,torchref_min,torchref_max,torchref_speedup,torchref_efficiency,torchref_fwd_graph_mean,torchref_fwd_graph_min,torchref_fwd_graph_max,torchref_fwd_graph_speedup,torchref_bwd_only_mean,torchref_bwd_only_min,torchref_bwd_only_max,torchref_bwd_only_speedup,torchref_fwd_bwd_mean,torchref_fwd_bwd_min,torchref_fwd_bwd_max,torchref_fwd_bwd_speedup,cctbx_mean,cctbx_min,cctbx_max,cctbx_speedup,cctbx_efficiency,n_iterations,n_atoms,n_reflections,d_min
1DAW,cpu,1,0.065044,0.061334,0.069712,1.000,1.000,0.064609,0.062205,0.070679,1.000,0.080602,0.077359,0.082764,1.000,0.145362,0.141478,0.150245,1.000,0.046975,0.046248,0.047760,1.000,1.000,10,3051,23356,2.050076961517334
1DAW,cpu,2,0.059198,0.058144,0.062600,1.099,0.549,0.058733,0.057607,0.060069,1.100,0.040484,0.039530,0.041998,1.991,0.097945,0.096265,0.100774,1.484,0.044940,0.044705,0.045430,1.045,0.523,10,3051,23356,2.050076961517334
1DAW,cpu,4,0.049798,0.048143,0.053011,1.306,0.327,0.049480,0.047991,0.050994,1.306,0.024179,0.022526,0.025081,3.334,0.074155,0.072670,0.078107,1.960,0.045093,0.044852,0.045763,1.042,0.260,10,3051,23356,2.050076961517334
1DAW,cpu,8,0.028251,0.027553,0.029279,2.302,0.288,0.027895,0.027353,0.028700,2.316,0.014190,0.013523,0.015346,5.680,0.042554,0.041820,0.044122,3.416,0.044958,0.044735,0.045971,1.045,0.131,10,3051,23356,2.050076961517334
1DAW,cpu,16,0.019310,0.017650,0.020584,3.368,0.211,0.019188,0.017898,0.020186,3.367,0.009901,0.009051,0.010968,8.141,0.028588,0.027210,0.030929,5.085,0.045372,0.044769,0.046027,1.035,0.065,10,3051,23356,2.050076961517334
1DAW,cpu,32,0.011285,0.011059,0.011732,5.764,0.180,0.011544,0.011077,0.012535,5.597,0.007523,0.006820,0.008645,10.714,0.020643,0.018210,0.022947,7.042,0.044874,0.044580,0.045877,1.047,0.033,10,3051,23356,2.050076961517334
2DQ6,cpu,1,0.500567,0.498813,0.505083,1.000,1.000,0.500323,0.497259,0.507114,1.000,0.559741,0.554590,0.567586,1.000,1.064410,1.057971,1.073913,1.000,0.487878,0.482835,0.491345,1.000,1.000,10,8066,228276,1.5000840425491333
2DQ6,cpu,2,0.300203,0.291754,0.311064,1.667,0.834,0.292110,0.290540,0.294564,1.713,0.291847,0.288685,0.297105,1.918,0.583002,0.581094,0.585700,1.826,0.465199,0.463412,0.468403,1.049,0.524,10,8066,228276,1.5000840425491333
2DQ6,cpu,4,0.175996,0.175266,0.176669,2.844,0.711,0.178609,0.177284,0.179577,2.801,0.164186,0.162483,0.167919,3.409,0.342814,0.339791,0.348018,3.105,0.491489,0.487987,0.498483,0.993,0.248,10,8066,228276,1.5000840425491333
2DQ6,cpu,8,0.097615,0.096125,0.098804,5.128,0.641,0.096412,0.095319,0.098706,5.189,0.098477,0.093556,0.107729,5.684,0.192580,0.188548,0.196201,5.527,0.467262,0.464575,0.471699,1.044,0.131,10,8066,228276,1.5000840425491333
2DQ6,cpu,16,0.060422,0.059016,0.062216,8.284,0.518,0.057633,0.056319,0.058671,8.681,0.063941,0.061369,0.069195,8.754,0.123152,0.116369,0.135700,8.643,0.486635,0.481398,0.493376,1.003,0.063,10,8066,228276,1.5000840425491333
2DQ6,cpu,32,0.042725,0.041870,0.043441,11.716,0.366,0.041763,0.041405,0.042413,11.980,0.048584,0.045699,0.053758,11.521,0.087383,0.083990,0.099675,12.181,0.471394,0.466894,0.476511,1.035,0.032,10,8066,228276,1.5000840425491333
3A5V,cpu,1,0.167671,0.166172,0.171122,1.000,1.000,0.167673,0.166922,0.168293,1.000,0.169544,0.168093,0.171144,1.000,0.338278,0.336217,0.339722,1.000,0.175007,0.173349,0.176313,1.000,1.000,10,3896,45408,2.0000617504119873
3A5V,cpu,2,0.111458,0.110558,0.113393,1.504,0.752,0.110834,0.110065,0.111739,1.513,0.094116,0.092527,0.096021,1.801,0.203565,0.202354,0.204778,1.662,0.176255,0.172087,0.179492,0.993,0.496,10,3896,45408,2.0000617504119873
3A5V,cpu,4,0.073864,0.073329,0.075659,2.270,0.568,0.076709,0.073312,0.084993,2.186,0.058808,0.055687,0.062070,2.883,0.133538,0.130044,0.141063,2.533,0.178207,0.174256,0.182296,0.982,0.246,10,3896,45408,2.0000617504119873
3A5V,cpu,8,0.052196,0.051147,0.053481,3.212,0.402,0.050531,0.050246,0.050917,3.318,0.037401,0.036362,0.039368,4.533,0.085695,0.083545,0.086785,3.947,0.176252,0.174128,0.179188,0.993,0.124,10,3896,45408,2.0000617504119873
3A5V,cpu,16,0.036680,0.035033,0.044418,4.571,0.286,0.034344,0.033954,0.035756,4.882,0.030358,0.029388,0.032764,5.585,0.059134,0.057182,0.060841,5.721,0.175473,0.173930,0.176682,0.997,0.062,10,3896,45408,2.0000617504119873
3A5V,cpu,32,0.023669,0.021930,0.033217,7.084,0.221,0.021624,0.021179,0.022501,7.754,0.022690,0.022019,0.023863,7.472,0.044036,0.042721,0.046132,7.682,0.172021,0.170607,0.173695,1.017,0.032,10,3896,45408,2.0000617504119873
3E98,cpu,1,0.043711,0.043436,0.044149,1.000,1.000,0.043845,0.042252,0.045179,1.000,0.051376,0.050038,0.052034,1.000,0.094765,0.092754,0.096907,1.000,0.030708,0.030484,0.030904,1.000,1.000,10,2791,20486,2.4300224781036377
3E98,cpu,2,0.035187,0.034903,0.035896,1.242,0.621,0.033904,0.033458,0.035467,1.293,0.026360,0.025486,0.027272,1.949,0.061289,0.060200,0.062875,1.546,0.028292,0.028203,0.028444,1.085,0.543,10,2791,20486,2.4300224781036377
3E98,cpu,4,0.019164,0.018033,0.021828,2.281,0.570,0.019158,0.018093,0.019607,2.289,0.014881,0.014646,0.015658,3.452,0.034794,0.033881,0.036303,2.724,0.028392,0.028273,0.028793,1.082,0.270,10,2791,20486,2.4300224781036377
3E98,cpu,8,0.013337,0.013233,0.013420,3.278,0.410,0.012371,0.012242,0.012938,3.544,0.008473,0.008144,0.009340,6.064,0.021238,0.020538,0.022806,4.462,0.028238,0.028166,0.028365,1.087,0.136,10,2791,20486,2.4300224781036377
3E98,cpu,16,0.009675,0.008990,0.010623,4.518,0.282,0.009488,0.008798,0.010938,4.621,0.006646,0.006371,0.007787,7.731,0.016680,0.015210,0.019074,5.682,0.031250,0.030407,0.032595,0.983,0.061,10,2791,20486,2.4300224781036377
3E98,cpu,32,0.007027,0.006508,0.008533,6.220,0.194,0.006522,0.006465,0.006606,6.723,0.004621,0.004065,0.005382,11.118,0.011155,0.010483,0.012789,8.496,0.028329,0.028263,0.028374,1.084,0.034,10,2791,20486,2.4300224781036377
3GR5,cpu,1,0.070271,0.069554,0.072114,1.000,1.000,0.065272,0.064925,0.065574,1.000,0.067664,0.062122,0.077039,1.000,0.136338,0.121390,0.148568,1.000,0.058457,0.056380,0.063027,1.000,1.000,10,1329,20942,2.0505518913269043
3GR5,cpu,2,0.050386,0.049991,0.050963,1.395,0.697,0.048333,0.047850,0.048656,1.350,0.038431,0.035188,0.041257,1.761,0.088161,0.079953,0.096180,1.546,0.060343,0.059690,0.060981,0.969,0.484,10,1329,20942,2.0505518913269043
3GR5,cpu,4,0.029449,0.027514,0.041055,2.386,0.597,0.025830,0.025719,0.025956,2.527,0.020836,0.019612,0.024262,3.247,0.047364,0.042760,0.052293,2.878,0.056950,0.056439,0.057844,1.026,0.257,10,1329,20942,2.0505518913269043
3GR5,cpu,8,0.017878,0.017795,0.017996,3.931,0.491,0.016666,0.016553,0.016762,3.916,0.014890,0.013536,0.016951,4.544,0.030367,0.028063,0.036073,4.490,0.056988,0.055638,0.061052,1.026,0.128,10,1329,20942,2.0505518913269043
3GR5,cpu,16,0.013500,0.013345,0.013753,5.205,0.325,0.011531,0.010648,0.013364,5.661,0.011065,0.009627,0.012919,6.115,0.022178,0.019673,0.025741,6.147,0.059089,0.058066,0.061772,0.989,0.062,10,1329,20942,2.0505518913269043
