device,n_threads,torchref_mean,torchref_min,torchref_max,torchref_speedup,torchref_efficiency,torchref_fwd_graph_mean,torchref_fwd_graph_min,torchref_fwd_graph_max,torchref_fwd_graph_speedup,torchref_bwd_only_mean,torchref_bwd_only_min,torchref_bwd_only_max,torchref_bwd_only_speedup,torchref_fwd_bwd_mean,torchref_fwd_bwd_min,torchref_fwd_bwd_max,torchref_fwd_bwd_speedup,cctbx_mean,cctbx_min,cctbx_max,cctbx_speedup,cctbx_efficiency,n_iterations,n_atoms,n_reflections,d_min
cpu,1,0.054096,0.052079,0.055838,1.000,1.000,0.058578,0.056813,0.060198,1.000,0.068219,0.063868,0.071480,1.000,0.127081,0.118928,0.131788,1.000,0.045472,0.044418,0.049033,1.000,1.000,10,3051,23356,2.050076961517334
cpu,2,0.034132,0.032264,0.037266,1.585,0.792,0.037298,0.036519,0.038569,1.571,0.039459,0.037448,0.041372,1.729,0.073450,0.071819,0.075457,1.730,0.045452,0.044341,0.048599,1.000,0.500,10,3051,23356,2.050076961517334
cpu,3,0.030592,0.029296,0.033111,1.768,0.589,0.033143,0.031964,0.034837,1.767,0.031740,0.029916,0.035923,2.149,0.066133,0.061153,0.070316,1.922,0.049737,0.049145,0.051190,0.914,0.305,10,3051,23356,2.050076961517334
cpu,4,0.023560,0.022657,0.024923,2.296,0.574,0.025499,0.024440,0.027172,2.297,0.023698,0.022016,0.025862,2.879,0.049291,0.047376,0.051808,2.578,0.044726,0.044510,0.045260,1.017,0.254,10,3051,23356,2.050076961517334
cpu,5,0.021941,0.021483,0.023627,2.465,0.493,0.023718,0.022855,0.024884,2.470,0.021469,0.020624,0.023115,3.178,0.044838,0.043394,0.051124,2.834,0.044659,0.044421,0.045003,1.018,0.204,10,3051,23356,2.050076961517334
cpu,6,0.019864,0.019179,0.022271,2.723,0.454,0.021995,0.021288,0.023718,2.663,0.018635,0.017344,0.020728,3.661,0.041039,0.038748,0.044456,3.097,0.044929,0.044417,0.047624,1.012,0.169,10,3051,23356,2.050076961517334
cpu,7,0.018914,0.018081,0.020309,2.860,0.409,0.020682,0.019875,0.023710,2.832,0.017211,0.016396,0.018375,3.964,0.038103,0.035832,0.044205,3.335,0.045161,0.044670,0.045567,1.007,0.144,10,3051,23356,2.050076961517334
cpu,8,0.017917,0.017238,0.019513,3.019,0.377,0.019440,0.018646,0.020409,3.013,0.016757,0.015404,0.018479,4.071,0.036339,0.034128,0.039320,3.497,0.045828,0.044616,0.047333,0.992,0.124,10,3051,23356,2.050076961517334
cpu,9,0.017534,0.016488,0.019734,3.085,0.343,0.019211,0.018362,0.021988,3.049,0.016121,0.015344,0.017253,4.232,0.035308,0.033914,0.039047,3.599,0.045323,0.044899,0.046441,1.003,0.111,10,3051,23356,2.050076961517334
cpu,10,0.017370,0.016252,0.020548,3.114,0.311,0.018617,0.017769,0.020060,3.146,0.015857,0.014618,0.017548,4.302,0.035130,0.032884,0.036768,3.617,0.044624,0.044500,0.044799,1.019,0.102,10,3051,23356,2.050076961517334
cpu,11,0.018426,0.017269,0.021917,2.936,0.267,0.019200,0.018740,0.021812,3.051,0.015744,0.014851,0.016620,4.333,0.035345,0.033620,0.038533,3.595,0.048789,0.048523,0.049342,0.932,0.085,10,3051,23356,2.050076961517334
cpu,12,0.016762,0.015553,0.019260,3.227,0.269,0.018087,0.017283,0.021103,3.239,0.015900,0.014618,0.017165,4.290,0.034283,0.032929,0.036501,3.707,0.045454,0.044602,0.047207,1.000,0.083,10,3051,23356,2.050076961517334
cpu,13,0.015378,0.013846,0.016743,3.518,0.271,0.016529,0.014994,0.021468,3.544,0.014479,0.013337,0.016206,4.712,0.029280,0.027617,0.031748,4.340,0.044672,0.044420,0.045225,1.018,0.078,10,3051,23356,2.050076961517334
cpu,14,0.015794,0.015015,0.017774,3.425,0.245,0.017831,0.016404,0.019642,3.285,0.014992,0.014036,0.017237,4.550,0.034185,0.030964,0.037491,3.717,0.044780,0.044594,0.045526,1.015,0.073,10,3051,23356,2.050076961517334
cpu,15,0.015760,0.015102,0.017861,3.432,0.229,0.016675,0.016166,0.017776,3.513,0.014988,0.014026,0.016572,4.552,0.033585,0.030640,0.037923,3.784,0.044734,0.044546,0.045030,1.016,0.068,10,3051,23356,2.050076961517334
cpu,16,0.014343,0.013775,0.015074,3.771,0.236,0.015445,0.015171,0.015931,3.793,0.013239,0.012112,0.014409,5.153,0.028207,0.027220,0.032598,4.505,0.045188,0.044506,0.048608,1.006,0.063,10,3051,23356,2.050076961517334
gpu,0,0.000414,0.000402,0.000433,130.723,,0.000410,0.000405,0.000416,143.044,0.000633,0.000600,0.000828,107.726,0.001017,0.001007,0.001049,124.998,,,,,,10,3051,23356,2.050076961517334
