panel,gi,ai,geometry_weight,adp_weight,value,n_structures,is_locked_default
Geometry quality  (mean bond/angle RMSZ),0,0,0.001,0.001,12.939256,47,0
Geometry quality  (mean bond/angle RMSZ),0,1,0.001,0.002154,12.984615,47,0
Geometry quality  (mean bond/angle RMSZ),0,2,0.001,0.004642,13.09038,47,0
Geometry quality  (mean bond/angle RMSZ),0,3,0.001,0.01,13.288146,47,0
Geometry quality  (mean bond/angle RMSZ),0,4,0.001,0.021544,13.464539,47,0
Geometry quality  (mean bond/angle RMSZ),0,5,0.001,0.046416,13.344975,47,0
Geometry quality  (mean bond/angle RMSZ),0,6,0.001,0.1,13.704268,47,0
Geometry quality  (mean bond/angle RMSZ),0,7,0.001,0.215443,13.755873,47,0
Geometry quality  (mean bond/angle RMSZ),0,8,0.001,0.464159,14.035443,47,0
Geometry quality  (mean bond/angle RMSZ),0,9,0.001,1.0,14.169984,47,0
Geometry quality  (mean bond/angle RMSZ),1,0,0.002154,0.001,8.621324,47,0
Geometry quality  (mean bond/angle RMSZ),1,1,0.002154,0.002154,8.624237,47,0
Geometry quality  (mean bond/angle RMSZ),1,2,0.002154,0.004642,8.853248,47,0
Geometry quality  (mean bond/angle RMSZ),1,3,0.002154,0.01,9.04692,47,0
Geometry quality  (mean bond/angle RMSZ),1,4,0.002154,0.021544,9.070564,47,0
Geometry quality  (mean bond/angle RMSZ),1,5,0.002154,0.046416,9.548423,47,0
Geometry quality  (mean bond/angle RMSZ),1,6,0.002154,0.1,9.425881,47,0
Geometry quality  (mean bond/angle RMSZ),1,7,0.002154,0.215443,9.649816,47,0
Geometry quality  (mean bond/angle RMSZ),1,8,0.002154,0.464159,9.708283,47,0
Geometry quality  (mean bond/angle RMSZ),1,9,0.002154,1.0,9.572561,47,0
Geometry quality  (mean bond/angle RMSZ),2,0,0.004642,0.001,5.834559,47,0
Geometry quality  (mean bond/angle RMSZ),2,1,0.004642,0.002154,5.857843,47,0
Geometry quality  (mean bond/angle RMSZ),2,2,0.004642,0.004642,5.94475,47,0
Geometry quality  (mean bond/angle RMSZ),2,3,0.004642,0.01,6.051129,47,0
Geometry quality  (mean bond/angle RMSZ),2,4,0.004642,0.021544,6.229546,47,0
Geometry quality  (mean bond/angle RMSZ),2,5,0.004642,0.046416,6.334759,47,0
Geometry quality  (mean bond/angle RMSZ),2,6,0.004642,0.1,6.414679,47,0
Geometry quality  (mean bond/angle RMSZ),2,7,0.004642,0.215443,6.542279,47,0
Geometry quality  (mean bond/angle RMSZ),2,8,0.004642,0.464159,6.617049,47,0
Geometry quality  (mean bond/angle RMSZ),2,9,0.004642,1.0,6.549062,47,0
Geometry quality  (mean bond/angle RMSZ),3,0,0.01,0.001,3.87149,47,0
Geometry quality  (mean bond/angle RMSZ),3,1,0.01,0.002154,3.922794,47,0
Geometry quality  (mean bond/angle RMSZ),3,2,0.01,0.004642,3.904817,47,0
Geometry quality  (mean bond/angle RMSZ),3,3,0.01,0.01,4.052294,47,0
Geometry quality  (mean bond/angle RMSZ),3,4,0.01,0.021544,4.073301,47,0
Geometry quality  (mean bond/angle RMSZ),3,5,0.01,0.046416,4.178795,47,0
Geometry quality  (mean bond/angle RMSZ),3,6,0.01,0.1,4.210158,47,0
Geometry quality  (mean bond/angle RMSZ),3,7,0.01,0.215443,4.243472,47,0
Geometry quality  (mean bond/angle RMSZ),3,8,0.01,0.464159,4.306651,47,0
Geometry quality  (mean bond/angle RMSZ),3,9,0.01,1.0,4.194648,47,0
Geometry quality  (mean bond/angle RMSZ),4,0,0.021544,0.001,2.573789,47,0
Geometry quality  (mean bond/angle RMSZ),4,1,0.021544,0.002154,2.561179,47,0
Geometry quality  (mean bond/angle RMSZ),4,2,0.021544,0.004642,2.631326,47,0
Geometry quality  (mean bond/angle RMSZ),4,3,0.021544,0.01,2.651099,47,0
Geometry quality  (mean bond/angle RMSZ),4,4,0.021544,0.021544,2.729396,47,0
Geometry quality  (mean bond/angle RMSZ),4,5,0.021544,0.046416,2.743263,47,0
Geometry quality  (mean bond/angle RMSZ),4,6,0.021544,0.1,2.768883,47,0
Geometry quality  (mean bond/angle RMSZ),4,7,0.021544,0.215443,2.769278,47,0
Geometry quality  (mean bond/angle RMSZ),4,8,0.021544,0.464159,2.795122,47,0
Geometry quality  (mean bond/angle RMSZ),4,9,0.021544,1.0,2.764076,47,0
Geometry quality  (mean bond/angle RMSZ),5,0,0.046416,0.001,1.779442,47,0
Geometry quality  (mean bond/angle RMSZ),5,1,0.046416,0.002154,1.772107,47,0
Geometry quality  (mean bond/angle RMSZ),5,2,0.046416,0.004642,1.782215,47,0
Geometry quality  (mean bond/angle RMSZ),5,3,0.046416,0.01,1.853616,47,0
