metric,reference,d_min,running_median_pp
R-free,PHENIX,1.700111,-0.27
R-free,PHENIX,1.700716,-0.26
R-free,PHENIX,1.700954,-0.26
R-free,PHENIX,1.701401,-0.26
R-free,PHENIX,1.701629,-0.26
R-free,PHENIX,1.702065,-0.26
R-free,PHENIX,1.703674,-0.26
R-free,PHENIX,1.70689,-0.26
R-free,PHENIX,1.720241,-0.26
R-free,PHENIX,1.747812,-0.26
R-free,PHENIX,1.748001,-0.26
R-free,PHENIX,1.748015,-0.23
R-free,PHENIX,1.748764,-0.23
R-free,PHENIX,1.750002,-0.22
R-free,PHENIX,1.750004,-0.21
R-free,PHENIX,1.750021,-0.21
R-free,PHENIX,1.75003,-0.2
R-free,PHENIX,1.750044,-0.2
R-free,PHENIX,1.750215,-0.2
R-free,PHENIX,1.750353,-0.2
R-free,PHENIX,1.750499,-0.19
R-free,PHENIX,1.750647,-0.18
R-free,PHENIX,1.751139,-0.18
R-free,PHENIX,1.760154,-0.18
R-free,PHENIX,1.764006,-0.18
R-free,PHENIX,1.764029,-0.18
R-free,PHENIX,1.766539,-0.18
R-free,PHENIX,1.767038,-0.18
R-free,PHENIX,1.77002,-0.15
R-free,PHENIX,1.770029,-0.15
R-free,PHENIX,1.778863,-0.15
R-free,PHENIX,1.780034,-0.14
R-free,PHENIX,1.780107,-0.15
R-free,PHENIX,1.782638,-0.15
R-free,PHENIX,1.789405,-0.18
R-free,PHENIX,1.794654,-0.18
R-free,PHENIX,1.794693,-0.15
R-free,PHENIX,1.795981,-0.15
R-free,PHENIX,1.797877,-0.14
R-free,PHENIX,1.79795,-0.14
R-free,PHENIX,1.798456,-0.14
R-free,PHENIX,1.798493,-0.13
R-free,PHENIX,1.798967,-0.13
R-free,PHENIX,1.799012,-0.13
R-free,PHENIX,1.799024,-0.13
R-free,PHENIX,1.799947,-0.12
R-free,PHENIX,1.799957,-0.13
R-free,PHENIX,1.799994,-0.13
R-free,PHENIX,1.800001,-0.13
R-free,PHENIX,1.800001,-0.12
R-free,PHENIX,1.800005,-0.12
R-free,PHENIX,1.800006,-0.12
R-free,PHENIX,1.800006,-0.12
R-free,PHENIX,1.800007,-0.12
R-free,PHENIX,1.800008,-0.12
R-free,PHENIX,1.800012,-0.12
R-free,PHENIX,1.800015,-0.12
R-free,PHENIX,1.800016,-0.12
R-free,PHENIX,1.80002,-0.12
R-free,PHENIX,1.80002,-0.12
R-free,PHENIX,1.800033,-0.12
R-free,PHENIX,1.800051,-0.12
R-free,PHENIX,1.800052,-0.11
R-free,PHENIX,1.800057,-0.11
R-free,PHENIX,1.800059,-0.12
R-free,PHENIX,1.800069,-0.12
R-free,PHENIX,1.800076,-0.12
R-free,PHENIX,1.800145,-0.12
R-free,PHENIX,1.800145,-0.12
R-free,PHENIX,1.801435,-0.12
R-free,PHENIX,1.801869,-0.12
R-free,PHENIX,1.801961,-0.13
R-free,PHENIX,1.802052,-0.13
R-free,PHENIX,1.802856,-0.12
R-free,PHENIX,1.804158,-0.12
R-free,PHENIX,1.805731,-0.12
R-free,PHENIX,1.806897,-0.12
R-free,PHENIX,1.838036,-0.12
R-free,PHENIX,1.839707,-0.12
R-free,PHENIX,1.839999,-0.12
R-free,PHENIX,1.843307,-0.12
R-free,PHENIX,1.847826,-0.12
R-free,PHENIX,1.848046,-0.12
R-free,PHENIX,1.848861,-0.12
R-free,PHENIX,1.84898,-0.12
R-free,PHENIX,1.8497,-0.11
R-free,PHENIX,1.849899,-0.1
R-free,PHENIX,1.850003,-0.06
R-free,PHENIX,1.850003,-0.06
R-free,PHENIX,1.850005,-0.06
R-free,PHENIX,1.850008,-0.1
R-free,PHENIX,1.850012,-0.06
R-free,PHENIX,1.850018,-0.06
R-free,PHENIX,1.850035,-0.06
R-free,PHENIX,1.850061,-0.06
R-free,PHENIX,1.850417,-0.06
R-free,PHENIX,1.854048,-0.06
R-free,PHENIX,1.860002,-0.06
R-free,PHENIX,1.870259,-0.1
R-free,PHENIX,1.874019,-0.1
R-free,PHENIX,1.879211,-0.06
R-free,PHENIX,1.880068,-0.06
R-free,PHENIX,1.883898,-0.06
R-free,PHENIX,1.885664,-0.06
R-free,PHENIX,1.888218,-0.06
R-free,PHENIX,1.888497,-0.06
R-free,PHENIX,1.890014,-0.06
R-free,PHENIX,1.894204,-0.06
R-free,PHENIX,1.896471,-0.06
R-free,PHENIX,1.897215,-0.06
R-free,PHENIX,1.898398,-0.06
R-free,PHENIX,1.898491,-0.06
R-free,PHENIX,1.898545,-0.06
R-free,PHENIX,1.899067,-0.06
R-free,PHENIX,1.899683,-0.05
R-free,PHENIX,1.899692,-0.05
R-free,PHENIX,1.899912,-0.05
R-free,PHENIX,1.899915,-0.05
R-free,PHENIX,1.899918,-0.05
R-free,PHENIX,1.899949,-0.05
R-free,PHENIX,1.899974,-0.05
R-free,PHENIX,1.899985,-0.05
R-free,PHENIX,1.900003,-0.05
R-free,PHENIX,1.900003,-0.05
R-free,PHENIX,1.900003,-0.05
R-free,PHENIX,1.900006,-0.05
R-free,PHENIX,1.900007,-0.05
R-free,PHENIX,1.900007,-0.05
R-free,PHENIX,1.900009,-0.05
R-free,PHENIX,1.90001,-0.05
R-free,PHENIX,1.900018,-0.05
R-free,PHENIX,1.900029,-0.05
R-free,PHENIX,1.900033,-0.05
R-free,PHENIX,1.900037,-0.04
R-free,PHENIX,1.900058,-0.05
R-free,PHENIX,1.90006,-0.05
R-free,PHENIX,1.900114,-0.05
R-free,PHENIX,1.900143,-0.06
R-free,PHENIX,1.900308,-0.06
R-free,PHENIX,1.900332,-0.06
R-free,PHENIX,1.900468,-0.06
R-free,PHENIX,1.900478,-0.06
R-free,PHENIX,1.900732,-0.06
R-free,PHENIX,1.900841,-0.06
R-free,PHENIX,1.900905,-0.06
R-free,PHENIX,1.901023,-0.06
R-free,PHENIX,1.901173,-0.06
R-free,PHENIX,1.901258,-0.06
R-free,PHENIX,1.901453,-0.06
R-free,PHENIX,1.902004,-0.1
R-free,PHENIX,1.904553,-0.06
