metric,reference,d_min,running_median_pp
R-work,PHENIX,1.700111,-0.69
R-work,PHENIX,1.700716,-0.68
R-work,PHENIX,1.700954,-0.68
R-work,PHENIX,1.701401,-0.68
R-work,PHENIX,1.701629,-0.68
R-work,PHENIX,1.702065,-0.67
R-work,PHENIX,1.703674,-0.67
R-work,PHENIX,1.70689,-0.67
R-work,PHENIX,1.720241,-0.67
R-work,PHENIX,1.747812,-0.67
R-work,PHENIX,1.748001,-0.67
R-work,PHENIX,1.748015,-0.67
R-work,PHENIX,1.748764,-0.67
R-work,PHENIX,1.750002,-0.66
R-work,PHENIX,1.750004,-0.66
R-work,PHENIX,1.750021,-0.66
R-work,PHENIX,1.75003,-0.65
R-work,PHENIX,1.750044,-0.65
R-work,PHENIX,1.750215,-0.65
R-work,PHENIX,1.750353,-0.65
R-work,PHENIX,1.750499,-0.64
R-work,PHENIX,1.750647,-0.63
R-work,PHENIX,1.751139,-0.63
R-work,PHENIX,1.760154,-0.63
R-work,PHENIX,1.764006,-0.63
R-work,PHENIX,1.764029,-0.63
R-work,PHENIX,1.766539,-0.63
R-work,PHENIX,1.767038,-0.63
R-work,PHENIX,1.77002,-0.63
R-work,PHENIX,1.770029,-0.63
R-work,PHENIX,1.778863,-0.62
R-work,PHENIX,1.780034,-0.62
R-work,PHENIX,1.780107,-0.62
R-work,PHENIX,1.782638,-0.62
R-work,PHENIX,1.789405,-0.62
R-work,PHENIX,1.794654,-0.62
R-work,PHENIX,1.794693,-0.61
R-work,PHENIX,1.795981,-0.61
R-work,PHENIX,1.797877,-0.61
R-work,PHENIX,1.79795,-0.61
R-work,PHENIX,1.798456,-0.61
R-work,PHENIX,1.798493,-0.61
R-work,PHENIX,1.798967,-0.61
R-work,PHENIX,1.799012,-0.61
R-work,PHENIX,1.799024,-0.61
R-work,PHENIX,1.799947,-0.61
R-work,PHENIX,1.799957,-0.61
R-work,PHENIX,1.799994,-0.61
R-work,PHENIX,1.800001,-0.6
R-work,PHENIX,1.800001,-0.6
R-work,PHENIX,1.800005,-0.6
R-work,PHENIX,1.800006,-0.6
