program,box_position,code,runtime_min
refmac,0,1A0F,0.217467
refmac,0,1A46,0.197067
refmac,0,1A4I,0.402633
refmac,0,1A7V,0.1128
refmac,0,1AJ6,0.1113
refmac,0,1AK5,0.724317
refmac,0,1ANU,0.115583
refmac,0,1APX,0.586983
refmac,0,1AQZ,0.186417
refmac,0,1B9K,0.139217
refmac,0,1BIA,0.14855
refmac,0,1BM7,0.146833
refmac,0,1BX0,0.2082
refmac,0,1BXE,0.120833
refmac,0,1BYW,0.090117
refmac,0,1C3F,0.15145
refmac,0,1CI0,0.185783
refmac,0,1CSM,0.314683
refmac,0,1DAW,0.2048
refmac,0,1DLM,0.307817
refmac,0,1DQ3,0.20765
refmac,0,1DQ8,0.53015
refmac,0,1E79,1.2552
refmac,0,1EJ1,0.1735
refmac,0,1EJH,0.330617
refmac,0,1ETE,0.269533
refmac,0,1EZW,0.615583
refmac,0,1F97,0.130317
refmac,0,1FG3,0.177117
refmac,0,1FIO,0.136083
refmac,0,1FKM,0.283633
refmac,0,1FSI,0.316233
refmac,0,1GHW,0.234017
refmac,0,1GPQ,0.310683
refmac,0,1GQ8,0.221167
refmac,0,1GQ9,0.16265
refmac,0,1GUI,0.15965
refmac,0,1GYJ,0.10315
refmac,0,1H8V,0.52955
refmac,0,1HN0,0.528833
refmac,0,1HNO,0.236583
refmac,0,1HTN,0.129183
refmac,0,1I1N,0.173567
refmac,0,1I3A,0.142717
refmac,0,1IDQ,0.479883
refmac,0,1IKN,0.3031
refmac,0,1ITK,0.789033
refmac,0,1J3P,0.20605
refmac,0,1J53,0.143017
refmac,0,1J5W,0.3451
refmac,0,1J8B,0.1123
refmac,0,1JAC,0.23945
refmac,0,1JAD,0.2139
refmac,0,1JN9,0.28385
refmac,0,1JU3,0.56795
refmac,0,1K6D,0.307433
refmac,0,1K7T,0.162783
refmac,0,1L9X,1.054183
refmac,0,1LNZ,0.20235
refmac,0,1M6E,0.1631
refmac,0,1N0L,0.241833
refmac,0,1N6J,0.178417
refmac,0,1O4V,0.199767
refmac,0,1O5T,0.2215
refmac,0,1O6D,0.149583
refmac,0,1OBR,0.32215
refmac,0,1OC0,0.185
refmac,0,1OE4,0.333383
refmac,0,1OMW,0.513633
refmac,0,1OSC,0.312267
refmac,0,1OY5,0.319083
refmac,0,1P3C,0.223667
refmac,0,1P4X,0.261783
refmac,0,1PG3,0.368033
refmac,0,1PJR,0.361933
refmac,0,1PXZ,0.445667
refmac,0,1Q15,0.70075
refmac,0,1QB5,0.265333
refmac,0,1QD9,0.255117
refmac,0,1QJV,0.235667
