engine,metric,n,q25,median,q75
ml_noalpha,Bond RMSZ,750,0.583333,0.583333,0.75
ml_noalpha,Angle RMSZ,750,0.956667,1.048893,1.163625
ml_noalpha,Chiral RMSZ,750,0.565,0.625,0.685
ml_noalpha,MC B-factor RMSZ,750,0.658351,0.903886,1.118755
ml,Bond RMSZ,750,0.5,0.583333,0.666667
ml,Angle RMSZ,750,0.913947,0.994565,1.104529
ml,Chiral RMSZ,750,0.555,0.605,0.66
ml,MC B-factor RMSZ,750,1.16773,1.551312,1.899371
ml_full,Bond RMSZ,750,0.5,0.583333,0.666667
ml_full,Angle RMSZ,750,0.909146,0.990823,1.09695
ml_full,Chiral RMSZ,750,0.56,0.6,0.66
ml_full,MC B-factor RMSZ,750,1.191779,1.583592,1.965659
nll_beta,Bond RMSZ,750,0.545455,0.583333,0.712121
nll_beta,Angle RMSZ,750,0.967879,1.065367,1.17975
nll_beta,Chiral RMSZ,750,0.585,0.635,0.695
nll_beta,MC B-factor RMSZ,750,1.290202,1.643102,2.027737
