engine,box_position,code,runtime_min
nll_beta,0,1A0F,1.48
nll_beta,0,1A46,0.395
nll_beta,0,1A4I,1.52
nll_beta,0,1A7V,0.386667
nll_beta,0,1AJ6,0.308333
nll_beta,0,1AK5,1.861667
nll_beta,0,1ANU,0.343333
nll_beta,0,1APX,1.588333
nll_beta,0,1AQZ,0.621667
nll_beta,0,1AT0,0.541667
nll_beta,0,1B9K,0.481667
nll_beta,0,1BIA,1.241667
nll_beta,0,1BM7,0.745
nll_beta,0,1BQG,1.706667
nll_beta,0,1BX0,0.675
nll_beta,0,1BXE,0.42
nll_beta,0,1BYW,0.488333
nll_beta,0,1C3F,0.526667
nll_beta,0,1CI0,0.708333
nll_beta,0,1CSM,1.756667
nll_beta,0,1DAW,0.8
nll_beta,0,1DLM,2.218333
nll_beta,0,1DQ3,0.786667
nll_beta,0,1DQ8,4.015
nll_beta,0,1e+79,4.811667
nll_beta,0,1EJ1,1.141667
nll_beta,0,1EJH,2.318333
nll_beta,0,1ETE,1.536667
nll_beta,0,1EZW,1.408333
nll_beta,0,1F97,0.64
nll_beta,0,1FG3,0.581667
nll_beta,0,1FIO,0.858333
nll_beta,0,1FKM,0.83
nll_beta,0,1FSI,1.196667
nll_beta,0,1GHW,1.536667
nll_beta,0,1GPQ,1.39
nll_beta,0,1GQ8,1.09
nll_beta,0,1GQ9,1.053333
nll_beta,0,1GUI,0.916667
nll_beta,0,1GYJ,0.605
nll_beta,0,1H8V,3.6
nll_beta,0,1HN0,3.216667
nll_beta,0,1HNO,0.641667
nll_beta,0,1HTN,0.316667
nll_beta,0,1I1N,0.476667
nll_beta,0,1I3A,1.083333
nll_beta,0,1IDQ,1.276667
nll_beta,0,1IKN,1.071667
nll_beta,0,1ITK,2.743333
nll_beta,0,1J3P,0.671667
nll_beta,0,1J53,0.49
nll_beta,0,1J5W,2.07
nll_beta,0,1J8B,0.303333
nll_beta,0,1JAC,1.888333
nll_beta,0,1JAD,1.568333
nll_beta,0,1JN9,1.971667
nll_beta,0,1JU3,1.783333
nll_beta,0,1K6D,1.888333
nll_beta,0,1K7T,1.286667
nll_beta,0,1L9X,4.251667
nll_beta,0,1LNZ,1.585
nll_beta,0,1M6E,1.286667
nll_beta,0,1N0L,0.938333
nll_beta,0,1N6J,1.136667
nll_beta,0,1O4V,0.558333
nll_beta,0,1O5T,1.816667
nll_beta,0,1O6D,0.313333
nll_beta,0,1OBR,1.448333
nll_beta,0,1OC0,0.68
nll_beta,0,1OE4,0.896667
nll_beta,0,1OMW,1.74
nll_beta,0,1OSC,2.133333
nll_beta,0,1OY5,2.345
nll_beta,0,1P3C,0.666667
nll_beta,0,1P4X,1.018333
nll_beta,0,1PG3,3.735
nll_beta,0,1PJR,2.273333
nll_beta,0,1PXZ,2.675
nll_beta,0,1Q15,4.671667
nll_beta,0,1QB5,1.301667
nll_beta,0,1QD9,0.806667
nll_beta,0,1QJV,1.665
nll_beta,0,1QZN,0.428333
nll_beta,0,1R1K,1.353333
nll_beta,0,1R3U,1.213333
nll_beta,0,1RFX,0.618333
nll_beta,0,1RHC,1.478333
nll_beta,0,1RJ1,0.356667
nll_beta,0,1RJD,4.753333
nll_beta,0,1RKG,0.58
nll_beta,0,1RZN,0.606667
nll_beta,0,1S1C,0.538333
nll_beta,0,1SO2,2.308333
nll_beta,0,1SOT,1.72
nll_beta,0,1T3I,3.038333
nll_beta,0,1TE5,1.801667
nll_beta,0,1TGS,0.525
