engine,macrocycle,median_fraction,q25,q75,n_structures,guard_min_delta_rfree
ml_noalpha,0,0.0,0.0,0.0,705,0.02
ml_noalpha,1,0.445386,0.206352,0.619726,705,0.02
ml_noalpha,2,0.804715,0.614597,0.920915,705,0.02
ml_noalpha,3,0.898851,0.779607,0.981377,705,0.02
ml_noalpha,4,0.94202,0.845151,0.996039,705,0.02
ml_noalpha,5,0.965126,0.8962,1.004847,705,0.02
ml_noalpha,6,0.981169,0.929771,1.005129,705,0.02
ml_noalpha,7,0.990334,0.949566,1.004559,705,0.02
ml_noalpha,8,0.994138,0.971893,1.004074,705,0.02
ml_noalpha,9,0.997626,0.984056,1.002836,705,0.02
ml_noalpha,10,1.0,1.0,1.0,705,0.02
ml,0,0.0,0.0,0.0,689,0.02
ml,1,0.521301,0.356372,0.676254,689,0.02
ml,2,0.815167,0.650204,0.927603,689,0.02
ml,3,0.901716,0.787181,0.982193,689,0.02
ml,4,0.946394,0.862407,0.997612,689,0.02
ml,5,0.968943,0.908222,1.002347,689,0.02
ml,6,0.983028,0.93632,1.004073,689,0.02
ml,7,0.990296,0.953646,1.00605,689,0.02
ml,8,0.995741,0.969196,1.003998,689,0.02
ml,9,0.998507,0.985891,1.002497,689,0.02
ml,10,1.0,1.0,1.0,689,0.02
ml_full,0,0.0,0.0,0.0,677,0.02
ml_full,1,0.521231,0.365529,0.678143,677,0.02
ml_full,2,0.818245,0.657239,0.92657,677,0.02
ml_full,3,0.905878,0.79167,0.981293,677,0.02
ml_full,4,0.943641,0.855759,0.997549,677,0.02
ml_full,5,0.966591,0.905356,1.00376,677,0.02
ml_full,6,0.98335,0.932336,1.007491,677,0.02
ml_full,7,0.991128,0.952509,1.006039,677,0.02
ml_full,8,0.995004,0.97174,1.004771,677,0.02
ml_full,9,0.99882,0.986953,1.00467,677,0.02
ml_full,10,1.0,1.0,1.0,677,0.02
nll_beta,0,0.0,0.0,0.0,688,0.02
nll_beta,1,0.54787,0.379817,0.705555,688,0.02
nll_beta,2,0.798358,0.632331,0.92029,688,0.02
nll_beta,3,0.895803,0.762347,0.97721,688,0.02
nll_beta,4,0.940059,0.833216,0.998159,688,0.02
nll_beta,5,0.965081,0.88169,1.003488,688,0.02
nll_beta,6,0.978848,0.920527,1.005549,688,0.02
nll_beta,7,0.987449,0.948672,1.006725,688,0.02
nll_beta,8,0.992735,0.96778,1.003737,688,0.02
nll_beta,9,0.997418,0.984361,1.001799,688,0.02
nll_beta,10,1.0,1.0,1.0,688,0.02
