engine,metric,n,q25,median,q75
prediction,Bond RMSZ,723,1.0,1.0,1.083333
prediction,Angle RMSZ,723,1.083235,1.105424,1.130725
prediction,Chiral RMSZ,723,0.47,0.485,0.505
prediction,MC B-factor RMSZ,723,0.316161,0.502758,0.819493
refmac,Bond RMSZ,723,0.5,0.583333,0.666667
refmac,Angle RMSZ,723,0.866425,0.946984,1.014546
refmac,Chiral RMSZ,723,0.505,0.545,0.58
refmac,MC B-factor RMSZ,723,0.787211,0.901473,1.024203
phenix,Bond RMSZ,723,0.75,0.833333,0.916667
phenix,Angle RMSZ,723,0.882442,0.918132,0.975627
phenix,Chiral RMSZ,723,0.33,0.345,0.36
phenix,MC B-factor RMSZ,723,0.794579,1.02853,1.343851
torchref,Bond RMSZ,723,0.5,0.583333,0.666667
torchref,Angle RMSZ,723,0.869646,0.956178,1.065706
torchref,Chiral RMSZ,723,0.53,0.57,0.63
torchref,MC B-factor RMSZ,723,1.138494,1.559796,1.917394
