engine,box_position,code,runtime_min
refmac,0,1A0F,0.233333
refmac,0,1A46,0.216667
refmac,0,1A4I,0.416667
refmac,0,1A7V,0.116667
refmac,0,1AJ6,0.116667
refmac,0,1AK5,0.716667
refmac,0,1ANU,0.133333
refmac,0,1APX,0.583333
refmac,0,1AQZ,0.2
refmac,0,1B9K,0.15
refmac,0,1BIA,0.166667
refmac,0,1BM7,0.166667
refmac,0,1BX0,0.216667
refmac,0,1BXE,0.133333
refmac,0,1BYW,0.1
refmac,0,1C3F,0.166667
refmac,0,1CI0,0.2
refmac,0,1CSM,0.316667
refmac,0,1DAW,0.216667
refmac,0,1DLM,0.316667
refmac,0,1DQ3,0.216667
refmac,0,1DQ8,0.516667
refmac,0,1E79,1.233333
refmac,0,1EJ1,0.183333
refmac,0,1EJH,0.333333
refmac,0,1ETE,0.266667
refmac,0,1EZW,0.616667
refmac,0,1F97,0.133333
refmac,0,1FG3,0.183333
refmac,0,1FIO,0.15
refmac,0,1FKM,0.283333
refmac,0,1FSI,0.333333
refmac,0,1GHW,0.25
refmac,0,1GPQ,0.316667
refmac,0,1GQ8,0.233333
refmac,0,1GQ9,0.166667
refmac,0,1GUI,0.166667
refmac,0,1GYJ,0.116667
refmac,0,1H8V,0.533333
refmac,0,1HN0,0.516667
refmac,0,1HNO,0.233333
refmac,0,1HTN,0.116667
refmac,0,1I1N,0.166667
refmac,0,1I3A,0.133333
refmac,0,1IDQ,0.466667
refmac,0,1IKN,0.283333
refmac,0,1ITK,0.783333
refmac,0,1J3P,0.2
refmac,0,1J53,0.133333
refmac,0,1J5W,0.333333
refmac,0,1J8B,0.116667
refmac,0,1JAC,0.233333
refmac,0,1JAD,0.2
refmac,0,1JN9,0.283333
refmac,0,1JU3,0.55
refmac,0,1K6D,0.3
refmac,0,1K7T,0.166667
refmac,0,1L9X,1.033333
refmac,0,1LNZ,0.183333
refmac,0,1M6E,0.15
refmac,0,1N0L,0.233333
refmac,0,1N6J,0.166667
refmac,0,1O4V,0.2
refmac,0,1O5T,0.216667
refmac,0,1O6D,0.133333
refmac,0,1OBR,0.3
refmac,0,1OC0,0.183333
refmac,0,1OE4,0.333333
refmac,0,1OMW,0.5
refmac,0,1OSC,0.3
refmac,0,1OY5,0.316667
refmac,0,1P3C,0.216667
refmac,0,1P4X,0.25
refmac,0,1PG3,0.366667
refmac,0,1PJR,0.35
refmac,0,1PXZ,0.433333
refmac,0,1Q15,0.7
refmac,0,1QB5,0.25
refmac,0,1QD9,0.266667
refmac,0,1QJV,0.233333
refmac,0,1QZN,0.15
refmac,0,1R1K,0.2
refmac,0,1R3U,0.183333
refmac,0,1RFX,0.216667
refmac,0,1RHC,0.266667
refmac,0,1RJ1,0.133333
refmac,0,1RJD,0.716667
refmac,0,1RKG,0.166667
refmac,0,1RZN,0.183333
refmac,0,1S1C,0.166667
refmac,0,1SO2,0.683333
refmac,0,1SOT,0.566667
refmac,0,1T3I,0.516667
refmac,0,1TE5,0.25
refmac,0,1TGS,0.183333
refmac,0,1TML,0.1
refmac,0,1TVL,0.3
refmac,0,1U1I,0.616667
refmac,0,1UEF,0.133333
refmac,0,1UJK,0.2
refmac,0,1UKV,0.5
refmac,0,1UTB,0.283333
refmac,0,1UVQ,0.3
refmac,0,1V8Q,0.116667
refmac,0,1VB3,0.2
refmac,0,1VCE,0.3
refmac,0,1VDD,0.366667
refmac,0,1VER,0.1
refmac,0,1VK0,0.616667
refmac,0,1VLM,0.2
refmac,0,1VR4,0.216667
refmac,0,1W2Y,0.316667
refmac,0,1W8A,0.1
refmac,0,1WD8,0.266667
refmac,0,1WDV,0.166667
refmac,0,1WLZ,0.25
refmac,0,1WTJ,0.7
refmac,0,1WTY,0.233333
