engine,macrocycle,median_fraction,q25,q75,n_structures,guard_min_delta_rfree
refmac,0,0.0,0.0,0.0,676,0.02
refmac,1,0.357493,0.255813,0.445971,676,0.02
refmac,2,0.596487,0.480505,0.708487,676,0.02
refmac,3,0.748443,0.633711,0.841896,676,0.02
refmac,4,0.841762,0.746884,0.917795,676,0.02
refmac,5,0.902331,0.830198,0.955769,676,0.02
refmac,6,0.938892,0.887737,0.977925,676,0.02
refmac,7,0.962204,0.925669,0.991284,676,0.02
refmac,8,0.977281,0.955939,0.998412,676,0.02
refmac,9,0.991132,0.979833,1.001607,676,0.02
refmac,10,1.0,1.0,1.0,676,0.02
phenix,0,0.0,0.0,0.0,663,0.02
phenix,1,0.545641,0.399955,0.67179,663,0.02
phenix,2,0.765903,0.637974,0.882886,663,0.02
phenix,3,0.882767,0.782041,0.97248,663,0.02
phenix,4,0.930514,0.845441,0.993625,663,0.02
phenix,5,0.955414,0.900394,1.007436,663,0.02
phenix,6,0.976996,0.933246,1.014828,663,0.02
phenix,7,0.985549,0.95886,1.013476,663,0.02
phenix,8,0.994553,0.977442,1.014196,663,0.02
phenix,9,1.0,0.992588,1.007167,663,0.02
phenix,10,1.0,1.0,1.0,663,0.02
torchref,0,0.0,0.0,0.0,666,0.02
torchref,1,0.520538,0.355014,0.676154,666,0.02
torchref,2,0.814105,0.646379,0.927256,666,0.02
torchref,3,0.900424,0.785922,0.979647,666,0.02
torchref,4,0.946325,0.861422,0.997697,666,0.02
torchref,5,0.968638,0.906753,1.001755,666,0.02
torchref,6,0.982312,0.936272,1.003662,666,0.02
torchref,7,0.990039,0.952557,1.005885,666,0.02
torchref,8,0.995752,0.96859,1.003947,666,0.02
torchref,9,0.99849,0.985533,1.002481,666,0.02
torchref,10,1.0,1.0,1.0,666,0.02
