structure,row,n_atoms,d_min,in_plot,series,time_ms
3GR5,0,1329,2.050552,1,torchref_cpu_1core,55.983
3GR5,0,1329,2.050552,1,torchref_cpu_4core,26.203
3GR5,0,1329,2.050552,1,torchref_cpu_16core,10.023
3GR5,0,1329,2.050552,1,torchref_gpu,0.777
3GR5,0,1329,2.050552,1,cctbx_single_thread,56.202
3GR5,0,1329,2.050552,1,sfcalculator_gpu,59.004025
3E98,1,2791,2.430022,1,torchref_cpu_1core,42.192
3E98,1,2791,2.430022,1,torchref_cpu_4core,17.468
3E98,1,2791,2.430022,1,torchref_cpu_16core,8.832
3E98,1,2791,2.430022,1,torchref_gpu,0.544
3E98,1,2791,2.430022,1,cctbx_single_thread,28.121
3E98,1,2791,2.430022,1,sfcalculator_gpu,21.076147
1DAW,2,3051,2.050077,1,torchref_cpu_1core,60.829
1DAW,2,3051,2.050077,1,torchref_cpu_4core,46.986
1DAW,2,3051,2.050077,1,torchref_cpu_16core,17.813
1DAW,2,3051,2.050077,1,torchref_gpu,0.644
1DAW,2,3051,2.050077,1,cctbx_single_thread,44.545
1DAW,2,3051,2.050077,1,sfcalculator_gpu,49.385374
3VRJ,3,3609,1.900007,1,torchref_cpu_1core,61.531
3VRJ,3,3609,1.900007,1,torchref_cpu_4core,30.42
3VRJ,3,3609,1.900007,1,torchref_cpu_16core,68.26
3VRJ,3,3609,1.900007,1,torchref_gpu,0.611
3VRJ,3,3609,1.900007,1,cctbx_single_thread,43.647
3VRJ,3,3609,1.900007,1,sfcalculator_gpu,45.260599
3A5V,4,3896,2.000062,1,torchref_cpu_1core,166.47
3A5V,4,3896,2.000062,1,torchref_cpu_4core,171.991
3A5V,4,3896,2.000062,1,torchref_cpu_16core,29.711
3A5V,4,3896,2.000062,1,torchref_gpu,1.229
3A5V,4,3896,2.000062,1,cctbx_single_thread,165.024
3A5V,4,3896,2.000062,1,sfcalculator_gpu,466.91677
3K7M,5,4048,1.95239,1,torchref_cpu_1core,313.257
3K7M,5,4048,1.95239,1,torchref_cpu_4core,112.943
3K7M,5,4048,1.95239,1,torchref_cpu_16core,52.385
3K7M,5,4048,1.95239,1,torchref_gpu,1.893
3K7M,5,4048,1.95239,1,cctbx_single_thread,336.389
3K7M,5,4048,1.95239,1,sfcalculator_gpu,878.760241
6G9X,6,5932,2.301983,1,torchref_cpu_1core,206.22
6G9X,6,5932,2.301983,1,torchref_cpu_4core,81.773
6G9X,6,5932,2.301983,1,torchref_cpu_16core,28.428
6G9X,6,5932,2.301983,1,torchref_gpu,2.101
6G9X,6,5932,2.301983,1,cctbx_single_thread,269.016
6G9X,6,5932,2.301983,1,sfcalculator_gpu,249.780904
2DQ6,7,8066,1.500084,1,torchref_cpu_1core,488.762
2DQ6,7,8066,1.500084,1,torchref_cpu_4core,166.857
2DQ6,7,8066,1.500084,1,torchref_cpu_16core,58.796
2DQ6,7,8066,1.500084,1,torchref_gpu,2.606
2DQ6,7,8066,1.500084,1,cctbx_single_thread,466.663
2DQ6,7,8066,1.500084,1,sfcalculator_gpu,
4BX9,8,10193,2.600043,1,torchref_cpu_1core,255.414
4BX9,8,10193,2.600043,1,torchref_cpu_4core,122.16
4BX9,8,10193,2.600043,1,torchref_cpu_16core,44.594
4BX9,8,10193,2.600043,1,torchref_gpu,2.518
4BX9,8,10193,2.600043,1,cctbx_single_thread,311.109
4BX9,8,10193,2.600043,1,sfcalculator_gpu,
5BOV,,11415,1.600023,0,torchref_cpu_1core,320.217
5BOV,,11415,1.600023,0,torchref_cpu_4core,101.801
5BOV,,11415,1.600023,0,torchref_cpu_16core,31.666
5BOV,,11415,1.600023,0,torchref_gpu,2.246
5BOV,,11415,1.600023,0,cctbx_single_thread,268.987
5BOV,,11415,1.600023,0,sfcalculator_gpu,
