# Per-energy-type atom properties from the CCP4 monomer library ener_lib.cif (_lib_atom loop).
# hb_type: N neither, D donor, A acceptor, B both, H hydrogen able to hydrogen-bond.
# vdw_radius: contact radius in Angstrom; vdwh_radius: radius to use when the atom's own hydrogens are not modelled.
# Regenerate with python -m torchref.scripts.extract_ener_lib
type,element,hb_type,vdw_radius,vdwh_radius,ion_radius
CSP,C,N,1.700,1.700,
CSP1,C,N,1.700,1.700,
C,C,N,1.700,1.750,
C1,C,N,1.700,1.820,
C2,C,N,1.700,1.800,
CR1,C,N,1.700,1.800,
CR2,C,N,1.700,1.800,
CR1H,C,N,1.700,1.800,
CR15,C,N,1.700,1.740,
CR5,C,N,1.700,1.740,
CR56,C,N,1.700,1.740,
CR55,C,N,1.700,1.740,
CR16,C,N,1.700,1.820,
CR6,C,N,1.700,1.740,
CR66,C,N,1.700,1.740,
CH1,C,N,1.700,1.950,
CH2,C,N,1.700,1.920,
CH3,C,N,1.700,1.940,
CT,C,N,1.700,1.850,
NS,N,A,1.550,1.600,1.32
NSP,N,A,1.550,1.600,1.32
NS1,N,D,1.550,1.600,1.32
NSP1,N,D,1.550,1.600,1.32
N,N,N,1.550,1.600,1.32
NC1,N,D,1.550,1.600,1.32
NH0,N,N,1.550,1.600,1.32
NH1,N,D,1.550,1.600,1.32
NC2,N,D,1.550,1.600,1.32
NH2,N,D,1.550,1.600,1.32
NC3,N,D,1.550,1.600,1.32
N20,N,A,1.550,1.600,1.32
N21,N,B,1.550,1.600,1.32
NT,N,N,1.550,1.600,1.32
NT1,N,D,1.550,1.600,1.32
NT2,N,D,1.550,1.600,1.32
NT3,N,D,1.550,1.600,1.32
NT4,N,D,1.550,1.600,1.32
N30,N,A,1.550,1.600,1.32
N31,N,B,1.550,1.600,1.32
N32,N,B,1.550,1.600,1.32
N33,N,B,1.550,1.600,1.32
NPA,N,A,1.550,1.600,1.32
NPB,N,A,1.550,1.600,1.32
NR5,N,A,1.550,1.600,1.32
NR15,N,D,1.550,1.600,1.32
NRD5,N,A,1.550,1.600,1.32
NR56,N,N,1.550,1.600,1.32
NR55,N,N,1.550,1.600,1.32
NR6,N,A,1.550,1.600,1.32
NR66,N,N,1.550,1.600,1.32
NR16,N,D,1.550,1.600,1.32
NRD6,N,A,1.550,1.600,1.32
OS,O,A,1.520,1.520,1.28
O,O,A,1.520,1.520,1.28
AF,AF,A,1.520,1.520,1.28
O2,O,A,1.520,1.520,1.28
