code,engine,r_work,r_free
1A0F,prediction,0.3743,0.3684
1A0F,refmac,0.2201,0.2485
1A0F,phenix,0.2226,0.2517
1A0F,torchref,0.212,0.2563
1A46,prediction,0.44,0.4284
1A46,refmac,0.3205,0.3519
1A46,phenix,0.3126,0.3446
1A46,torchref,0.309,0.3494
1A4E,prediction,0.3102,0.311
1A4E,refmac,0.1942,0.2274
1A4E,phenix,0.2006,0.2314
1A4E,torchref,0.1954,0.2365
1A4I,prediction,0.5054,0.5275
1A4I,refmac,0.3386,0.3836
1A4I,phenix,0.3176,0.3561
1A4I,torchref,0.2993,0.3542
1A7V,prediction,0.3401,0.3755
1A7V,refmac,0.2358,0.2934
1A7V,phenix,0.231,0.3049
1A7V,torchref,0.2329,0.2996
1AJ6,prediction,0.4359,0.4058
1AJ6,refmac,0.3334,0.3585
1AJ6,phenix,0.2853,0.3298
1AJ6,torchref,0.2987,0.3441
1AK5,prediction,0.3714,0.3782
1AK5,refmac,0.2086,0.2278
1AK5,phenix,0.218,0.2362
1AK5,torchref,0.2033,0.2321
1ANU,prediction,0.3756,0.3769
1ANU,refmac,0.1949,0.2381
1ANU,phenix,0.2007,0.2661
1ANU,torchref,0.1916,0.2683
1APX,prediction,0.3446,0.3579
1APX,refmac,0.2514,0.3021
1APX,phenix,0.2463,0.2952
1APX,torchref,0.2406,0.3015
1AQZ,prediction,0.3708,0.3642
1AQZ,refmac,0.2321,0.2715
1AQZ,phenix,0.2347,0.2701
1AQZ,torchref,0.2292,0.2774
1AT0,prediction,0.397,0.421
1AT0,refmac,0.2829,0.3376
1AT0,torchref,0.2692,0.3348
1B37,prediction,0.3635,0.3599
1B37,refmac,0.2566,0.2806
1B37,phenix,0.2608,0.2782
1B37,torchref,0.2533,0.2815
1B9K,prediction,0.4171,0.4388
1B9K,refmac,0.2417,0.2822
1B9K,phenix,0.2373,0.2829
1B9K,torchref,0.2276,0.2764
1BIA,prediction,0.4453,0.4292
1BIA,refmac,0.2863,0.3479
1BIA,phenix,0.2822,0.3475
1BIA,torchref,0.258,0.3515
1BM7,prediction,0.3394,0.3154
1BM7,refmac,0.2098,0.2468
1BM7,phenix,0.2207,0.2527
1BM7,torchref,0.2025,0.247
1BQG,prediction,0.3881,0.3643
1BQG,refmac,0.2111,0.2364
1BQG,torchref,0.202,0.2403
1BX0,prediction,0.3671,0.3831
1BX0,refmac,0.2387,0.289
1BX0,phenix,0.2381,0.2842
1BX0,torchref,0.2238,0.2784
1BXE,prediction,0.4664,0.4294
1BXE,refmac,0.3142,0.3499
1BXE,phenix,0.3324,0.3483
1BXE,torchref,0.3046,0.3526
1BYW,prediction,0.3948,0.3282
1BYW,refmac,0.2229,0.2132
1BYW,phenix,0.2448,0.2534
1BYW,torchref,0.2507,0.3089
1C3F,prediction,0.3556,0.3874
1C3F,refmac,0.2567,0.3156
1C3F,phenix,0.2573,0.324
1C3F,torchref,0.2434,0.317
1CI0,prediction,0.4173,0.4049
1CI0,refmac,0.238,0.2971
1CI0,phenix,0.2488,0.2933
1CI0,torchref,0.2444,0.2887
1CSM,prediction,0.3184,0.303
1CSM,refmac,0.2124,0.2495
1CSM,phenix,0.2198,0.2551
1CSM,torchref,0.2078,0.2554
1D9E,prediction,0.3492,0.3413
1D9E,refmac,0.2296,0.2571
1D9E,phenix,0.238,0.269
1D9E,torchref,0.2286,0.2607
1DAW,prediction,0.4048,0.393
1DAW,refmac,0.2765,0.325
1DAW,phenix,0.2799,0.3174
1DAW,torchref,0.2663,0.324
1DLM,prediction,0.3816,0.3792
1DLM,refmac,0.2248,0.2731
1DLM,phenix,0.223,0.265
1DLM,torchref,0.2115,0.2683
1DQ3,prediction,0.4681,0.4742
1DQ3,refmac,0.325,0.3829
1DQ3,phenix,0.3291,0.3751
1DQ3,torchref,0.3106,0.3854
1DQ8,prediction,0.3313,0.3271
1DQ8,refmac,0.2078,0.2885
1DQ8,phenix,0.2103,0.2838
1DQ8,torchref,0.1978,0.2907
1E79,prediction,0.4699,0.4511
1E79,refmac,0.3335,0.3807
1E79,phenix,0.3188,0.3693
1E79,torchref,0.3481,0.3836
1EJ1,prediction,0.4066,0.3873
1EJ1,refmac,0.2594,0.2901
1EJ1,phenix,0.2588,0.3063
1EJ1,torchref,0.255,0.3183
1EJH,prediction,0.3918,0.3713
1EJH,refmac,0.2636,0.299
1EJH,phenix,0.2677,0.3056
1EJH,torchref,0.2473,0.2946
1ETE,prediction,0.3933,0.4407
1ETE,refmac,0.275,0.3443
1ETE,phenix,0.2828,0.3541
1ETE,torchref,0.2645,0.3453
1EZW,prediction,0.3616,0.3503
1EZW,refmac,0.2334,0.2431
1EZW,phenix,0.2429,0.2484
1EZW,torchref,0.23,0.2461
1F97,prediction,0.3903,0.3413
1F97,refmac,0.2152,0.2371
1F97,phenix,0.2106,0.2619
1F97,torchref,0.2158,0.2716
1FG3,prediction,0.3755,0.4028
1FG3,refmac,0.2569,0.304
1FG3,phenix,0.2502,0.3075
1FG3,torchref,0.2583,0.3091
1FIO,prediction,0.4905,0.4655
1FIO,refmac,0.3893,0.4144
1FIO,phenix,0.3945,0.3959
1FIO,torchref,0.3612,0.404
1FKM,prediction,0.3854,0.392
1FKM,refmac,0.2676,0.3146
1FKM,phenix,0.2737,0.3105
1FKM,torchref,0.2618,0.3162
1FSI,prediction,0.4224,0.4025
1FSI,refmac,0.2698,0.3048
1FSI,phenix,0.285,0.3334
1FSI,torchref,0.2728,0.3129
1GHW,prediction,0.4503,0.472
1GHW,refmac,0.363,0.4105
1GHW,phenix,0.3605,0.4271
1GHW,torchref,0.323,0.3944
1GPQ,prediction,0.4247,0.4562
1GPQ,refmac,0.2593,0.3056
1GPQ,phenix,0.2594,0.3065
1GPQ,torchref,0.2449,0.2969
1GQ8,prediction,0.3702,0.3651
1GQ8,refmac,0.2437,0.2623
1GQ8,phenix,0.2438,0.2563
1GQ8,torchref,0.2285,0.2558
1GQ9,prediction,0.4299,0.4296
1GQ9,refmac,0.2935,0.3229
1GQ9,phenix,0.2662,0.3434
