code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,d_min,n_atoms,delta_rwork,delta_rfree
6A0C,0.258300,0.289900,0.205300,0.226200,1.150818,702,5.300000,6.370000
6GPZ,0.218500,0.234100,0.211200,0.221500,1.242466,1125,0.730000,1.260000
2EU9,0.234000,0.258800,0.216000,0.240400,1.399979,3195,1.800000,1.840000
5JD9,0.220900,0.264500,0.192400,0.221000,1.400773,3391,2.850000,4.350000
6N7O,0.224600,0.248400,0.205700,0.225000,1.469941,729,1.890000,2.340000
1Z3X,0.213200,0.228000,0.183800,0.207000,1.499852,2370,2.940000,2.100000
1I1N,0.213100,0.228000,0.194200,0.214600,1.499858,2010,1.890000,1.340000
5K2X,0.197600,0.218900,0.160700,0.184900,1.499946,3620,3.690000,3.400000
5LW0,0.193800,0.207600,0.175900,0.192800,1.499985,3664,1.790000,1.480000
3RPD,0.211700,0.220300,0.178500,0.194600,1.500001,6494,3.320000,2.570000
1P3C,0.184900,0.220700,0.163900,0.197900,1.500004,1813,2.100000,2.280000
3CXM,0.200400,0.222500,0.184400,0.195900,1.500005,2288,1.600000,2.660000
2DQ6,0.207800,0.229500,0.173700,0.185200,1.500006,8066,3.410000,4.430000
5IQM,0.194900,0.231200,0.169900,0.205100,1.500007,2693,2.500000,2.610000
5G4I,0.203200,0.217700,0.180600,0.196500,1.500008,7107,2.260000,2.120000
6TT5,0.217400,0.237900,0.190100,0.218200,1.500008,3178,2.730000,1.970000
4V15,0.203100,0.216400,0.162500,0.183300,1.500009,6789,4.060000,3.310000
3OC7,0.198100,0.217700,0.186100,0.205100,1.500012,2103,1.200000,1.260000
3CH0,0.199500,0.220400,0.169800,0.198300,1.500012,2775,2.970000,2.210000
2I53,0.204600,0.219200,0.201400,0.229100,1.500012,2337,0.320000,-0.990000
2YN0,0.230200,0.250800,0.198400,0.215000,1.500022,2381,3.180000,3.580000
3ER7,0.219300,0.238800,0.196300,0.221300,1.500051,2283,2.300000,1.750000
5NTB,0.192900,0.221500,0.170600,0.200300,1.500053,1976,2.230000,2.120000
1A4I,0.216300,0.236400,0.196300,0.220500,1.500611,4899,2.000000,1.590000
3BGU,0.285600,0.307200,0.227000,0.250700,1.500741,1951,5.860000,5.650000
3D49,0.228400,0.241600,0.208100,0.224600,1.501934,2578,2.030000,1.700000
4QXL,0.224200,0.261900,0.215700,0.237300,1.511846,941,0.850000,2.460000
2GUH,0.208800,0.231000,0.176300,0.201400,1.519005,3571,3.250000,2.960000
6K93,0.206400,0.227400,0.193000,0.216800,1.530017,2347,1.340000,1.060000
6Z1S,0.205300,0.227200,0.182700,0.241100,1.532468,3441,2.260000,-1.390000
2QML,0.204900,0.252900,0.190100,0.226100,1.548850,1872,1.480000,2.680000
5EG2,0.208100,0.225700,0.197300,0.208100,1.548965,2282,1.080000,1.760000
5YAY,0.231600,0.265500,0.229400,0.262700,1.549813,2111,0.220000,0.280000
1WTJ,0.202300,0.219300,0.183900,0.198600,1.550000,5674,1.840000,2.070000
3G39,0.176500,0.209500,0.171600,0.193500,1.550753,1416,0.490000,1.600000
5I2H,0.234700,0.260600,0.206900,0.235300,1.550985,5998,2.780000,2.530000
2QHL,0.209300,0.228700,0.198900,0.220200,1.560241,5284,1.040000,0.850000
3N55,0.198900,0.234400,0.195700,0.216700,1.568706,1110,0.320000,1.770000
6WI4,0.285100,0.328000,0.240400,0.281500,1.570586,4404,4.470000,4.650000
1JU3,0.211300,0.238100,0.196700,0.225000,1.583364,4904,1.460000,1.310000
2HXW,0.189000,0.208000,0.184300,0.198500,1.583993,4003,0.470000,0.950000
1WLZ,0.211100,0.244500,0.190900,0.220500,1.596113,3200,2.020000,2.400000
1ZZ0,0.194800,0.211800,0.165700,0.185700,1.596351,12316,2.910000,2.610000
7DVN,0.230000,0.276200,0.238500,0.251600,1.597146,1261,-0.850000,2.460000
3EIW,0.196900,0.206800,0.165700,0.189400,1.597813,2787,3.120000,1.740000
1GPQ,0.214300,0.253500,0.183300,0.222700,1.597966,4558,3.100000,3.080000
4RO5,0.223500,0.237200,0.199200,0.211200,1.598004,3174,2.430000,2.600000
5Z6D,0.219600,0.265200,0.215600,0.260800,1.598011,3488,0.400000,0.440000
2BUO,0.253700,0.308900,0.223400,0.298000,1.598183,894,3.030000,1.090000
5B5I,0.374400,0.320600,0.195200,0.200600,1.599271,1128,17.920000,12.000000
3LW3,0.228800,0.267700,0.214200,0.236300,1.599408,2150,1.460000,3.140000
1L9X,0.183900,0.212200,0.173000,0.198200,1.599637,10370,1.090000,1.400000
3QLA,0.252800,0.278000,0.170600,0.189900,1.599850,2630,8.220000,8.810000
3CB0,0.231000,0.256000,0.192000,0.217200,1.600001,6231,3.900000,3.880000
3NYY,0.187100,0.206200,0.164000,0.196500,1.600003,2453,2.310000,0.970000
4U7A,0.200200,0.218400,0.193500,0.214800,1.600006,3302,0.670000,0.360000
2D68,0.219000,0.240500,0.207400,0.226900,1.600008,1399,1.160000,1.360000
3FJU,0.231100,0.250500,0.170300,0.195400,1.600016,3587,6.080000,5.510000
3W56,0.262700,0.282900,0.261300,0.301500,1.600016,1033,0.140000,-1.860000
4L9U,0.294000,0.322600,0.268400,0.297700,1.600038,879,2.560000,2.490000
1TYJ,0.209700,0.252500,0.185500,0.217300,1.600129,1577,2.420000,3.520000
1X6O,0.206700,0.236500,0.202600,0.226700,1.600176,1402,0.410000,0.980000
4K36,0.205700,0.220900,0.181700,0.217700,1.619001,6793,2.400000,0.320000
3M1T,0.251800,0.268400,0.217800,0.237800,1.620274,2469,3.400000,3.060000
3FPR,0.243900,0.265600,0.229000,0.253000,1.630049,1418,1.490000,1.260000
2PQV,0.210700,0.246900,0.194600,0.224700,1.634705,2900,1.610000,2.220000
5E2V,0.196000,0.232000,0.179800,0.211900,1.638217,3879,1.620000,2.010000
4KYQ,0.201300,0.263400,0.176600,0.233700,1.643029,1885,2.470000,2.970000
2A65,0.203700,0.221900,0.191700,0.207100,1.647381,4366,1.200000,1.480000
6FJU,0.200000,0.217800,0.192400,0.210000,1.647491,3044,0.760000,0.780000
3RLE,0.194900,0.232700,0.190600,0.214800,1.648703,1842,0.430000,1.790000
3AQ2,0.200000,0.220100,0.181100,0.196800,1.649005,3388,1.890000,2.330000
1EZW,0.220200,0.226100,0.190900,0.194100,1.649843,2959,2.930000,3.200000
4UWX,0.207600,0.244300,0.199900,0.242300,1.650005,4337,0.770000,0.200000
6SRB,0.332200,0.368900,0.329900,0.364300,1.650018,4022,0.230000,0.460000
3VFU,0.242300,0.261500,0.212200,0.235000,1.650020,3861,3.010000,2.650000
2A9S,0.193800,0.211400,0.177700,0.200700,1.652399,2761,1.610000,1.070000
1O6D,0.234300,0.255600,0.222300,0.261700,1.662573,1393,1.200000,-0.610000
1ZKL,0.196000,0.218300,0.184300,0.207200,1.669472,2891,1.170000,1.110000
