metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_work,refmac,phenix,1A0F,phenix,0.2258,0.2214
r_work,refmac,phenix,1A0F,refmac,0.2204,0.2173
r_work,refmac,phenix,1A0F,torchref,0.2156,0.2114
r_work,refmac,phenix,1A46,phenix,0.3129,0.3081
r_work,refmac,phenix,1A46,refmac,0.3236,0.3225
r_work,refmac,phenix,1A46,torchref,0.3135,0.3089
r_work,refmac,phenix,1A4E,phenix,0.2007,0.1991
r_work,refmac,phenix,1A4E,refmac,0.1936,0.1978
r_work,refmac,phenix,1A4I,phenix,0.3194,0.3142
r_work,refmac,phenix,1A4I,refmac,0.2909,0.2847
r_work,refmac,phenix,1A4I,torchref,0.3009,0.2959
r_work,refmac,phenix,1A7V,phenix,0.231,0.2256
r_work,refmac,phenix,1A7V,refmac,0.2366,0.2397
r_work,refmac,phenix,1A7V,torchref,0.2426,0.2398
r_work,refmac,phenix,1AJ6,phenix,0.285,0.2792
r_work,refmac,phenix,1AJ6,refmac,0.3215,0.3189
r_work,refmac,phenix,1AJ6,torchref,0.2886,0.2829
r_work,refmac,phenix,1AK5,phenix,0.2178,0.2138
r_work,refmac,phenix,1AK5,refmac,0.2084,0.2084
r_work,refmac,phenix,1AK5,torchref,0.2059,0.2011
r_work,refmac,phenix,1ANU,phenix,0.2003,0.196
r_work,refmac,phenix,1ANU,refmac,0.1935,0.1939
r_work,refmac,phenix,1ANU,torchref,0.1999,0.196
r_work,refmac,phenix,1APX,phenix,0.2463,0.2402
r_work,refmac,phenix,1APX,refmac,0.2531,0.2483
r_work,refmac,phenix,1APX,torchref,0.2477,0.2424
r_work,refmac,phenix,1AQZ,phenix,0.235,0.2303
r_work,refmac,phenix,1AQZ,refmac,0.2336,0.2307
r_work,refmac,phenix,1AQZ,torchref,0.2331,0.2277
r_work,refmac,phenix,1AT0,refmac,0.2813,0.2758
r_work,refmac,phenix,1AT0,torchref,0.2793,0.2722
r_work,refmac,phenix,1B37,phenix,0.2608,0.2548
r_work,refmac,phenix,1B37,refmac,0.2562,0.251
r_work,refmac,phenix,1B9K,phenix,0.2378,0.2299
r_work,refmac,phenix,1B9K,refmac,0.2417,0.2342
r_work,refmac,phenix,1B9K,torchref,0.2342,0.2266
r_work,refmac,phenix,1BIA,phenix,0.2816,0.2784
r_work,refmac,phenix,1BIA,refmac,0.2869,0.2873
r_work,refmac,phenix,1BIA,torchref,0.2904,0.2887
r_work,refmac,phenix,1BM7,phenix,0.2204,0.2139
r_work,refmac,phenix,1BM7,refmac,0.2105,0.206
r_work,refmac,phenix,1BM7,torchref,0.2114,0.2061
r_work,refmac,phenix,1BQG,refmac,0.2119,0.2117
r_work,refmac,phenix,1BQG,torchref,0.2049,0.2024
r_work,refmac,phenix,1BX0,phenix,0.2381,0.2344
r_work,refmac,phenix,1BX0,refmac,0.2394,0.2367
r_work,refmac,phenix,1BX0,torchref,0.2306,0.2268
r_work,refmac,phenix,1BXE,phenix,0.3317,0.3257
r_work,refmac,phenix,1BXE,refmac,0.3128,0.3073
r_work,refmac,phenix,1BXE,torchref,0.3127,0.305
r_work,refmac,phenix,1BYW,phenix,0.2447,0.2377
r_work,refmac,phenix,1BYW,refmac,0.2238,0.2265
r_work,refmac,phenix,1BYW,torchref,0.2494,0.2445
r_work,refmac,phenix,1C3F,phenix,0.2571,0.2515
r_work,refmac,phenix,1C3F,refmac,0.2569,0.2507
r_work,refmac,phenix,1C3F,torchref,0.2526,0.2465
r_work,refmac,phenix,1CI0,phenix,0.2483,0.2345
r_work,refmac,phenix,1CI0,refmac,0.2358,0.2328
r_work,refmac,phenix,1CI0,torchref,0.2519,0.2407
r_work,refmac,phenix,1CSM,phenix,0.22,0.2119
r_work,refmac,phenix,1CSM,refmac,0.2146,0.2113
r_work,refmac,phenix,1CSM,torchref,0.2167,0.2089
r_work,refmac,phenix,1D9E,phenix,0.2381,0.2261
r_work,refmac,phenix,1D9E,refmac,0.2284,0.2226
r_work,refmac,phenix,1DAW,phenix,0.2805,0.254
