code,solved,llg,tfz
1A0F,1,4224.0,58.0
1A46,1,668.0,6.6
1A4E,1,31999.0,139.7
1A4I,1,919.0,28.4
1A7V,1,1988.0,34.1
1AJ6,1,891.0,28.6
1AK5,1,4583.0,52.5
1ANU,1,1039.0,20.5
1APX,1,11838.0,87.4
1AQZ,1,3138.0,50.6
1AT0,1,1387.0,39.6
1B26,0,,
1B37,1,36710.0,158.0
1B4F,0,,
1B89,0,,
1B9K,1,1256.0,42.1
1BIA,1,604.0,28.1
1BM7,1,3435.0,
1BQG,1,2588.0,53.6
1BX0,1,3333.0,44.6
1BXE,1,541.0,23.8
1BYW,1,611.0,27.1
1C3F,1,2776.0,52.8
1CI0,1,1370.0,38.8
1CSM,1,6324.0,69.0
1D9E,1,12430.0,74.9
1DAW,1,2048.0,38.0
1DLM,1,5447.0,71.0
1DQ3,1,856.0,21.0
1DQ8,1,9925.0,74.4
1DUG,0,,
1E79,1,4548.0,17.8
1EJ1,1,2255.0,48.5
1EJH,1,4396.0,6.4
1ETE,1,3529.0,26.4
1EZW,1,8570.0,79.4
1F97,1,1096.0,30.2
1FG3,1,1947.0,34.2
1FIO,1,494.0,22.8
1FKM,1,3989.0,69.4
1FSI,1,1789.0,38.9
1GHW,1,727.0,6.0
1GPQ,1,4149.0,49.3
1GQ8,1,6292.0,59.2
1GQ9,1,580.0,25.0
1GUI,1,2653.0,51.7
1GYJ,1,980.0,30.3
1H8V,1,10403.0,
1HN0,1,7077.0,80.0
1HNO,1,2723.0,53.9
1HTN,1,1075.0,31.8
1I1N,1,2440.0,39.3
1I3A,1,915.0,31.2
1IDQ,1,11383.0,89.5
1IKN,1,1531.0,39.7
1ITK,1,18127.0,118.8
1J3P,1,3952.0,58.2
1J53,1,2382.0,45.6
1J5W,1,3840.0,60.2
1J8B,1,345.0,19.7
1JAC,1,6318.0,60.2
1JAD,1,539.0,13.9
1JN9,1,1165.0,6.4
1JU3,1,16862.0,120.9
1K47,0,,
1K6D,1,3489.0,57.6
1K7T,1,2042.0,37.4
1L9X,1,30930.0,143.1
1LNZ,1,167.0,13.7
1M6E,1,2354.0,44.3
1N0L,1,2306.0,15.4
1N6J,1,889.0,5.2
1O4V,1,4094.0,60.4
1O5T,1,539.0,20.2
1O6D,1,2517.0,46.8
1OBR,1,4324.0,60.5
1OC0,1,1401.0,13.6
1OE4,1,7595.0,81.5
1OMW,1,3096.0,5.5
1OQE,1,24128.0,7.7
1OSC,1,8458.0,67.7
1OY5,1,1211.0,23.9
1P3C,1,6912.0,67.7
1P4X,1,354.0,24.4
1PG3,1,10481.0,92.2
1PJR,1,342.0,22.3
1PXZ,1,18076.0,105.0
1Q15,1,3684.0,46.2
1QB5,1,5245.0,52.0
1QD9,1,4014.0,52.2
1QJV,1,8005.0,77.6
1QZN,1,2066.0,36.8
1R1K,1,1151.0,36.1
1R3U,1,3293.0,51.9
1RFX,1,1123.0,20.6
1RHC,1,3835.0,54.7
1RJ1,1,1861.0,40.2
1RJD,1,9035.0,75.0
1RKG,1,2778.0,43.6
1RYL,0,,
1RZN,1,1803.0,37.9
1S1C,1,1905.0,9.0
1SO2,1,13626.0,80.8
1SOT,1,1713.0,33.6
1SQS,0,,
1SVV,0,,
1SZQ,0,,
1T3I,1,13183.0,104.6
1TE5,1,1324.0,37.5
1TGS,1,3281.0,36.4
1TML,1,2062.0,27.8
1TVL,1,4872.0,76.4
1U1I,1,7150.0,62.5
1U7B,1,75.0,10.6
1UEF,1,719.0,6.3
1UJK,1,2900.0,51.9
1UKV,1,1353.0,36.4
1UTB,1,6500.0,74.4
1UVQ,1,2415.0,7.7
1V8Q,1,1049.0,
1VB3,1,2973.0,58.1
1VCE,1,6659.0,76.2
1VDD,1,1695.0,31.1
1VER,1,536.0,21.3
1VK0,1,8436.0,64.4
1VLM,1,2791.0,44.7
1VMB,0,,
1VR4,1,1945.0,29.7
1VRQ,1,9399.0,55.6
1W2Y,1,3138.0,52.7
1W53,0,,
1W8A,1,683.0,19.0
1WD8,1,1858.0,35.8
1WDV,1,2738.0,49.6
1WLZ,1,2760.0,45.6
1WTJ,1,6043.0,76.6
1WTY,1,3296.0,45.5
1WU2,1,809.0,28.9
1WV8,1,173.0,16.2
1WW9,1,4810.0,73.7
1X1Q,1,1055.0,32.7
1X6O,1,1347.0,35.5
1XFK,0,,
1XHD,1,4954.0,64.4
1XQZ,1,3410.0,51.6
1XVS,1,1669.0,40.6
1XVW,1,3105.0,54.6
1XX1,1,17981.0,106.7
1Y08,1,5759.0,48.5
1Y7O,1,3747.0,32.6
1Y8Q,1,9206.0,74.6
1Y98,1,1909.0,7.9
1YEM,1,3332.0,57.5
1YK3,1,10840.0,55.2
1YMQ,1,2207.0,39.0
1YRX,1,197.0,14.8
1YW0,0,,
1YW4,0,,
1Z05,1,439.0,25.7
1Z3X,1,5715.0,34.4
1ZEJ,1,708.0,29.2
1ZJ8,1,4490.0,67.2
1ZKL,1,6238.0,80.9
1ZN6,0,,
1ZPS,0,,
1ZZ0,1,29523.0,130.7
2A25,1,1226.0,8.8
2A3V,1,891.0,24.9
2A65,1,2942.0,47.3
2A9S,1,4884.0,60.9
2ACJ,1,209.0,7.3
2AE0,1,287.0,20.2
2AG0,1,9481.0,79.8
2AHR,1,1315.0,22.2
2AP2,1,113.0,10.7
2AQ4,1,2320.0,46.6
2B2N,1,1079.0,37.8
2B3X,1,415.0,22.4
2B5E,1,94.0,11.2
2B78,0,,
2B7O,1,6675.0,87.6
2BON,1,2604.0,50.1
2BTY,1,2386.0,36.5
2C83,0,,
2C8X,1,603.0,6.7
2C90,1,508.0,6.1
2CB4,1,29856.0,84.5
2CCH,1,9922.0,4.9
2CCM,1,4123.0,57.8
2CF9,0,,
2CKL,1,1320.0,24.5
2CZV,1,6502.0,71.5
2D0T,1,4443.0,65.9
2D68,1,1625.0,38.1
2DOB,1,12.0,4.2
2DQ6,1,9659.0,99.5
2DRY,1,812.0,26.1
2DX6,1,1877.0,41.5
2E1M,1,596.0,31.7
2EO4,1,2430.0,54.5
2EU9,1,3650.0,21.6
2EXU,1,187.0,17.6
2F1F,1,860.0,31.9
2F2E,1,1485.0,33.7
2F8L,1,3538.0,29.2
2F9I,1,8377.0,77.8
2F9Z,1,1642.0,28.2
2FEX,1,8599.0,65.2
2FFF,1,4895.0,5.6
2FH9,1,355.0,21.1
2FTX,1,1607.0,41.0
2G9W,1,188.0,16.1
2GA1,1,116.0,4.0
2GA9,1,3741.0,59.5
2GD9,1,355.0,19.8
2GT1,1,1631.0,
2GUH,1,3830.0,62.3
2H34,0,,
2HXW,1,5391.0,57.9
2I4R,0,,
2I53,1,4753.0,29.4
2I7H,1,6369.0,50.7
2I88,1,1421.0,25.2
2IJE,1,1396.0,37.0
2IO7,1,8091.0,76.1
2IUC,1,7641.0,84.9
2IVF,1,2855.0,34.2
2IVM,1,2154.0,48.9
2JAC,1,1133.0,31.9
2JBV,1,11719.0,96.4
2JFN,1,2167.0,42.4
2JH3,1,14626.0,88.1
2NLY,1,2459.0,31.8
2NN4,1,1003.0,24.7
2NTX,1,623.0,25.9
2NVN,1,719.0,28.6
2O14,0,,
2OD8,1,919.0,4.9
2OO2,1,1285.0,28.2
2OO3,1,4890.0,59.2
2P0U,1,17395.0,115.8
2P1L,1,5703.0,11.3
2P38,1,956.0,29.6
2P62,1,1273.0,39.5
2P8J,1,4090.0,58.3
2P8Q,1,797.0,3.7
2PAV,1,1969.0,40.1
2PJS,1,1213.0,32.2
2PK9,1,3795.0,59.3
2PN0,1,1165.0,26.8
2PQN,1,447.0,5.6
2PQV,1,1854.0,36.9
2PSB,0,,
2PY2,1,5413.0,47.6
2Q1Z,1,558.0,19.0
2QCO,1,388.0,21.3
2QE9,1,1888.0,44.6
2QH9,1,1507.0,37.0
2QHL,1,4209.0,47.1
2QKL,1,693.0,26.3
2QL3,1,8401.0,42.9
2QM7,1,2690.0,50.5
2QML,1,1732.0,45.6
2QOS,1,1335.0,7.0
2QSV,1,2496.0,53.2
2QYA,1,2817.0,35.6
2QZU,0,,
2R5F,1,952.0,22.7
2R6R,1,2789.0,26.1
2RCC,1,2566.0,48.5
2RH3,1,1751.0,23.9
2UZ8,1,2142.0,43.0
2V62,1,5580.0,
2VEF,1,3088.0,55.1
2VUN,1,21714.0,111.8
2VXZ,0,,
2VZB,1,4349.0,55.1
2W3X,1,5220.0,45.3
2W9Y,1,642.0,21.7
2WDZ,1,5199.0,57.4
2WNH,1,19110.0,133.0
2WP1,1,95.0,12.8
2X1C,1,31374.0,109.1
2X26,1,278.0,17.2
2XD0,1,1863.0,19.4
2XDO,1,8173.0,60.6
2XN4,1,1769.0,31.2
2XPI,1,2905.0,10.9
2XPL,1,1676.0,35.6
2XVS,1,364.0,19.4
2Y9W,1,5286.0,39.5
2YEU,1,4569.0,37.4
2YFA,1,643.0,15.9
2YGB,1,2949.0,46.9
2YGK,1,993.0,29.0
2YJT,1,2421.0,34.5
2YN0,1,6273.0,59.7
2Z1D,1,8818.0,68.0
2Z1Z,1,8029.0,86.6
2Z7E,1,1593.0,29.4
2ZIU,1,74.0,10.0
2ZME,1,1277.0,15.9
2ZON,1,23415.0,58.3
2ZUL,1,2170.0,34.6
3A58,1,3627.0,22.7
3ADO,1,1334.0,23.3
3AJW,1,273.0,18.2
3AMH,1,8161.0,75.8
3AQ2,0,,
3AQG,1,1315.0,33.4
3ATQ,1,8416.0,85.7
3AV4,1,1843.0,43.5
3AX3,0,,
3B23,1,154.0,2.3
3B2D,1,2257.0,31.6
3B8I,1,11399.0,66.6
3BCI,1,3353.0,46.6
3BGU,1,944.0,27.5
3BJ6,1,272.0,17.8
3BNK,1,2644.0,55.6
3BSD,1,1018.0,35.6
3BVQ,1,646.0,28.6
3C0B,0,,
3C7J,1,50.0,7.6
3CAX,1,3793.0,61.3
3CB0,1,7409.0,
3CB5,1,6672.0,73.3
3CBM,1,3757.0,6.0
3CGG,1,4142.0,59.9
3CMQ,1,4208.0,56.6
3CQO,1,5823.0,65.7
3CU3,1,287.0,17.9
3CXM,1,5671.0,70.1
3D1M,1,4988.0,48.6
3D49,1,910.0,6.3
3DEE,1,414.0,17.9
3DIW,1,974.0,6.6
3DJD,1,11393.0,81.9
3DJN,1,937.0,26.6
3DLA,1,27017.0,139.9
3DOH,1,4399.0,
3DXI,1,6206.0,78.8
3E7P,1,1797.0,44.1
3E8S,1,3271.0,60.6
3E8V,1,406.0,21.6
3E98,1,451.0,
3E99,1,1265.0,34.8
3EBW,0,,
3EC1,1,294.0,
3ED4,1,9223.0,69.1
3EFY,1,2724.0,55.3
3ER7,1,2540.0,45.0
3EUS,1,2088.0,43.4
