code,n_atoms,n_reflections,d_min,peak_memory_gb,peak_init_gb,peak_cycle_gb
3SGN,172,1509,2.8069512844085693,1.6734991073608398,1.6734991073608398,1.6732640266418457
5XUK,948,9849,2.3000996112823486,1.8287444114685059,1.8276371955871582,1.8287444114685059
6IR8,1257,9753,2.300100326538086,1.8693561553955078,1.851090431213379,1.8693561553955078
4WWM,1424,12095,2.196848154067993,1.8023734092712402,1.801936149597168,1.8023734092712402
2QCO,1686,11198,2.173923969268799,1.8295469284057617,1.828721046447754,1.8295469284057617
6FX6,1953,12420,2.2501680850982666,2.0555362701416016,2.0555362701416016,1.8595309257507324
4OH5,2187,17812,2.0024466514587402,2.0623021125793457,2.0609989166259766,2.0623021125793457
3G85,2331,29431,1.8433067798614502,2.6888508796691895,2.6876354217529297,2.6888508796691895
5O51,2539,26362,2.0100045204162598,2.085789203643799,2.084620952606201,2.085789203643799
3THF,2749,16417,2.695052146911621,2.6490955352783203,2.6490955352783203,2.015132427215576
1R3U,2953,15607,2.4831013679504395,2.1859593391418457,2.18465518951416,2.1859593391418457
2B78,3234,68154,1.798719048500061,2.800389289855957,2.797041893005371,2.800389289855957
3FJU,3587,49531,1.6003087759017944,3.124638080596924,3.1211819648742676,3.124638080596924
5TTA,3785,35462,1.8456249237060547,3.2260327339172363,3.2260327339172363,2.2834434509277344
3K7M,4048,55080,1.9523898363113403,3.093170166015625,3.0913596153259277,3.093170166015625
5Q1D,4433,46940,1.8900140523910522,3.9031548500061035,3.9003801345825195,3.9031548500061035
6I1R,4897,20725,2.800067901611328,2.964737892150879,2.964737892150879,2.6897854804992676
2GT1,5322,49489,1.9052543640136719,3.5910868644714355,3.5890092849731445,3.5910868644714355
1PXZ,5991,84532,1.6982734203338623,3.630763053894043,3.628364086151123,3.630763053894043
2PY2,6557,94765,1.7036738395690918,4.311129093170166,4.308122158050537,4.311129093170166
6VS7,7496,73516,1.9794994592666626,3.6485633850097656,3.6442770957946777,3.6485633850097656
3A58,8792,52811,2.597801923751831,3.571463108062744,3.5685129165649414,3.571463108062744
3VPB,11013,112348,1.7984925508499146,4.3297576904296875,4.321987152099609,4.3297576904296875
6PEU,13853,130565,1.9481037855148315,4.492252349853516,4.488838195800781,4.492252349853516
4LD7,48979,160059,2.8299646377563477,6.242367267608643,5.741793155670166,6.242367267608643
