metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_work,phenix,torchref,1A0F,phenix,0.2214,0.223131
r_work,phenix,torchref,1A0F,refmac,0.2173,0.217212
r_work,phenix,torchref,1A0F,torchref,0.2114,0.21013
r_work,phenix,torchref,1A46,phenix,0.3081,0.308324
r_work,phenix,torchref,1A46,refmac,0.3225,0.3227
r_work,phenix,torchref,1A46,torchref,0.3089,0.308474
r_work,phenix,torchref,1A4E,phenix,0.1991,0.19853
r_work,phenix,torchref,1A4E,refmac,0.1978,0.19506
r_work,phenix,torchref,1A4I,phenix,0.3142,0.314432
r_work,phenix,torchref,1A4I,refmac,0.2847,0.284938
r_work,phenix,torchref,1A4I,torchref,0.2959,0.29584
r_work,phenix,torchref,1A7V,phenix,0.2256,0.227245
r_work,phenix,torchref,1A7V,refmac,0.2397,0.238308
r_work,phenix,torchref,1A7V,torchref,0.2398,0.2372
r_work,phenix,torchref,1AJ6,phenix,0.2792,0.283648
r_work,phenix,torchref,1AJ6,refmac,0.3189,0.318215
r_work,phenix,torchref,1AJ6,torchref,0.2829,0.281129
r_work,phenix,torchref,1AK5,phenix,0.2138,0.21406
r_work,phenix,torchref,1AK5,refmac,0.2084,0.206916
r_work,phenix,torchref,1AK5,torchref,0.2011,0.199509
r_work,phenix,torchref,1ANU,phenix,0.196,0.195646
r_work,phenix,torchref,1ANU,refmac,0.1939,0.190704
r_work,phenix,torchref,1ANU,torchref,0.196,0.192599
r_work,phenix,torchref,1APX,phenix,0.2402,0.244066
r_work,phenix,torchref,1APX,refmac,0.2483,0.250817
r_work,phenix,torchref,1APX,torchref,0.2424,0.243971
r_work,phenix,torchref,1AQZ,phenix,0.2303,0.230573
r_work,phenix,torchref,1AQZ,refmac,0.2307,0.230762
r_work,phenix,torchref,1AQZ,torchref,0.2277,0.226792
r_work,phenix,torchref,1AT0,refmac,0.2758,0.274806
r_work,phenix,torchref,1AT0,torchref,0.2722,0.271328
r_work,phenix,torchref,1B37,phenix,0.2548,0.255189
r_work,phenix,torchref,1B37,refmac,0.251,0.251183
r_work,phenix,torchref,1B9K,phenix,0.2299,0.230234
r_work,phenix,torchref,1B9K,refmac,0.2342,0.234638
r_work,phenix,torchref,1B9K,torchref,0.2266,0.225614
r_work,phenix,torchref,1BIA,phenix,0.2784,0.278125
r_work,phenix,torchref,1BIA,refmac,0.2873,0.286602
r_work,phenix,torchref,1BIA,torchref,0.2887,0.287689
r_work,phenix,torchref,1BM7,phenix,0.2139,0.214695
r_work,phenix,torchref,1BM7,refmac,0.206,0.204685
r_work,phenix,torchref,1BM7,torchref,0.2061,0.204432
r_work,phenix,torchref,1BQG,refmac,0.2117,0.210659
r_work,phenix,torchref,1BQG,torchref,0.2024,0.2006
r_work,phenix,torchref,1BX0,phenix,0.2344,0.235104
r_work,phenix,torchref,1BX0,refmac,0.2367,0.236164
r_work,phenix,torchref,1BX0,torchref,0.2268,0.226502
r_work,phenix,torchref,1BXE,phenix,0.3257,0.327747
r_work,phenix,torchref,1BXE,refmac,0.3073,0.307702
r_work,phenix,torchref,1BXE,torchref,0.305,0.305828
r_work,phenix,torchref,1BYW,phenix,0.2377,0.24365
r_work,phenix,torchref,1BYW,refmac,0.2265,0.230237
r_work,phenix,torchref,1BYW,torchref,0.2445,0.243879
r_work,phenix,torchref,1C3F,phenix,0.2515,0.251245
r_work,phenix,torchref,1C3F,refmac,0.2507,0.250767
r_work,phenix,torchref,1C3F,torchref,0.2465,0.242101
r_work,phenix,torchref,1CI0,phenix,0.2345,0.235238
r_work,phenix,torchref,1CI0,refmac,0.2328,0.23032
r_work,phenix,torchref,1CI0,torchref,0.2407,0.237095
r_work,phenix,torchref,1CSM,phenix,0.2119,0.213407
r_work,phenix,torchref,1CSM,refmac,0.2113,0.210489
r_work,phenix,torchref,1CSM,torchref,0.2089,0.20698
r_work,phenix,torchref,1D9E,phenix,0.2261,0.22638
r_work,phenix,torchref,1D9E,refmac,0.2226,0.2213
r_work,phenix,torchref,1DAW,phenix,0.254,0.255821
r_work,phenix,torchref,1DAW,refmac,0.2556,0.255745
r_work,phenix,torchref,1DAW,torchref,0.2509,0.249853
r_work,phenix,torchref,1DLM,phenix,0.2161,0.219917
r_work,phenix,torchref,1DLM,refmac,0.2198,0.220631
r_work,phenix,torchref,1DLM,torchref,0.2129,0.213332
r_work,phenix,torchref,1DQ3,phenix,0.3256,0.326667
r_work,phenix,torchref,1DQ3,refmac,0.3187,0.318855
r_work,phenix,torchref,1DQ3,torchref,0.3221,0.321844
r_work,phenix,torchref,1DQ8,phenix,0.2057,0.205873
r_work,phenix,torchref,1DQ8,refmac,0.214,0.211857
r_work,phenix,torchref,1DQ8,torchref,0.2075,0.204392
