metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_free,refmac,phenix,1A0F,phenix,0.2521,0.2495
r_free,refmac,phenix,1A0F,refmac,0.2485,0.2426
r_free,refmac,phenix,1A0F,torchref,0.2551,0.2511
r_free,refmac,phenix,1A46,phenix,0.3499,0.3428
r_free,refmac,phenix,1A46,refmac,0.3519,0.3456
r_free,refmac,phenix,1A46,torchref,0.3534,0.3365
r_free,refmac,phenix,1A4E,phenix,0.2308,0.2341
r_free,refmac,phenix,1A4E,refmac,0.2274,0.2321
r_free,refmac,phenix,1A4I,phenix,0.3569,0.3527
r_free,refmac,phenix,1A4I,refmac,0.3836,0.3791
r_free,refmac,phenix,1A4I,torchref,0.3488,0.3443
r_free,refmac,phenix,1A7V,phenix,0.3095,0.3172
r_free,refmac,phenix,1A7V,refmac,0.2934,0.3046
r_free,refmac,phenix,1A7V,torchref,0.321,0.3204
r_free,refmac,phenix,1AJ6,phenix,0.3378,0.337
r_free,refmac,phenix,1AJ6,refmac,0.3585,0.3512
r_free,refmac,phenix,1AJ6,torchref,0.3248,0.3178
r_free,refmac,phenix,1AK5,phenix,0.2347,0.2302
r_free,refmac,phenix,1AK5,refmac,0.2278,0.2266
r_free,refmac,phenix,1AK5,torchref,0.2307,0.225
r_free,refmac,phenix,1ANU,phenix,0.2669,0.2635
r_free,refmac,phenix,1ANU,refmac,0.2381,0.2346
r_free,refmac,phenix,1ANU,torchref,0.2705,0.2725
r_free,refmac,phenix,1APX,phenix,0.2947,0.2915
r_free,refmac,phenix,1APX,refmac,0.3021,0.2955
r_free,refmac,phenix,1APX,torchref,0.3051,0.3002
r_free,refmac,phenix,1AQZ,phenix,0.2698,0.2654
r_free,refmac,phenix,1AQZ,refmac,0.2715,0.2647
r_free,refmac,phenix,1AQZ,torchref,0.2747,0.271
r_free,refmac,phenix,1AT0,refmac,0.3376,0.3226
r_free,refmac,phenix,1AT0,torchref,0.3456,0.3333
r_free,refmac,phenix,1B37,phenix,0.2783,0.2742
r_free,refmac,phenix,1B37,refmac,0.2806,0.2746
r_free,refmac,phenix,1B9K,phenix,0.2812,0.2692
r_free,refmac,phenix,1B9K,refmac,0.2822,0.2763
r_free,refmac,phenix,1B9K,torchref,0.291,0.2813
r_free,refmac,phenix,1BIA,phenix,0.3574,0.3485
r_free,refmac,phenix,1BIA,refmac,0.3479,0.3472
r_free,refmac,phenix,1BIA,torchref,0.3525,0.354
r_free,refmac,phenix,1BM7,phenix,0.2535,0.2506
r_free,refmac,phenix,1BM7,refmac,0.2468,0.2468
r_free,refmac,phenix,1BM7,torchref,0.2476,0.2522
r_free,refmac,phenix,1BQG,refmac,0.2364,0.2346
r_free,refmac,phenix,1BQG,torchref,0.2445,0.2434
r_free,refmac,phenix,1BX0,phenix,0.2854,0.2825
r_free,refmac,phenix,1BX0,refmac,0.289,0.2842
r_free,refmac,phenix,1BX0,torchref,0.2821,0.2777
r_free,refmac,phenix,1BXE,phenix,0.3467,0.3308
r_free,refmac,phenix,1BXE,refmac,0.3499,0.3342
r_free,refmac,phenix,1BXE,torchref,0.3498,0.3339
r_free,refmac,phenix,1BYW,phenix,0.2515,0.2594
r_free,refmac,phenix,1BYW,refmac,0.2132,0.2289
r_free,refmac,phenix,1BYW,torchref,0.2547,0.2594
r_free,refmac,phenix,1C3F,phenix,0.3241,0.3175
r_free,refmac,phenix,1C3F,refmac,0.3156,0.3122
r_free,refmac,phenix,1C3F,torchref,0.3116,0.3154
r_free,refmac,phenix,1CI0,phenix,0.294,0.2838
r_free,refmac,phenix,1CI0,refmac,0.2971,0.2808
r_free,refmac,phenix,1CI0,torchref,0.2992,0.2921
r_free,refmac,phenix,1CSM,phenix,0.2549,0.2509
r_free,refmac,phenix,1CSM,refmac,0.2495,0.2466
r_free,refmac,phenix,1CSM,torchref,0.2561,0.2495
r_free,refmac,phenix,1D9E,phenix,0.269,0.2589
r_free,refmac,phenix,1D9E,refmac,0.2571,0.2507
r_free,refmac,phenix,1DAW,phenix,0.3169,0.2948
r_free,refmac,phenix,1DAW,refmac,0.325,0.304
r_free,refmac,phenix,1DAW,torchref,0.3244,0.3082
r_free,refmac,phenix,1DLM,phenix,0.2656,0.2563
r_free,refmac,phenix,1DLM,refmac,0.2731,0.2632
r_free,refmac,phenix,1DLM,torchref,0.2702,0.2613
r_free,refmac,phenix,1DQ3,phenix,0.377,0.3723
r_free,refmac,phenix,1DQ3,refmac,0.3829,0.3808
r_free,refmac,phenix,1DQ3,torchref,0.378,0.3766
r_free,refmac,phenix,1DQ8,phenix,0.2846,0.2811
r_free,refmac,phenix,1DQ8,refmac,0.2885,0.284
r_free,refmac,phenix,1DQ8,torchref,0.2882,0.2841
r_free,refmac,phenix,1e+79,phenix,0.3707,0.3623
r_free,refmac,phenix,1e+79,refmac,0.3807,0.3736
r_free,refmac,phenix,1e+79,torchref,0.39,0.3796
r_free,refmac,phenix,1EJ1,phenix,0.3067,0.3081
r_free,refmac,phenix,1EJ1,refmac,0.2901,0.294
r_free,refmac,phenix,1EJ1,torchref,0.3087,0.3073
r_free,refmac,phenix,1EJH,phenix,0.3055,0.3005
r_free,refmac,phenix,1EJH,refmac,0.299,0.2984
r_free,refmac,phenix,1EJH,torchref,0.2997,0.2948
r_free,refmac,phenix,1ETE,phenix,0.3523,0.352
r_free,refmac,phenix,1ETE,refmac,0.3443,0.3387
r_free,refmac,phenix,1ETE,torchref,0.358,0.3554
r_free,refmac,phenix,1EZW,phenix,0.2485,0.2438
r_free,refmac,phenix,1EZW,refmac,0.2431,0.2435
r_free,refmac,phenix,1EZW,torchref,0.2454,0.2435
r_free,refmac,phenix,1F97,phenix,0.2654,0.2565
r_free,refmac,phenix,1F97,refmac,0.2371,0.2293
r_free,refmac,phenix,1F97,torchref,0.2887,0.2852
r_free,refmac,phenix,1FG3,phenix,0.3063,0.3016
r_free,refmac,phenix,1FG3,refmac,0.304,0.3012
r_free,refmac,phenix,1FG3,torchref,0.3126,0.3065
r_free,refmac,phenix,1FIO,phenix,0.3905,0.4156
r_free,refmac,phenix,1FIO,refmac,0.4144,0.4319
r_free,refmac,phenix,1FIO,torchref,0.4124,0.427
r_free,refmac,phenix,1FKM,phenix,0.3097,0.3103
r_free,refmac,phenix,1FKM,refmac,0.3146,0.3094
r_free,refmac,phenix,1FKM,torchref,0.3106,0.3081
r_free,refmac,phenix,1FSI,phenix,0.3323,0.3266
r_free,refmac,phenix,1FSI,refmac,0.3048,0.3019
r_free,refmac,phenix,1FSI,torchref,0.3247,0.3227
r_free,refmac,phenix,1GHW,phenix,0.4265,0.4149
r_free,refmac,phenix,1GHW,refmac,0.4105,0.4068
r_free,refmac,phenix,1GHW,torchref,0.4125,0.4074
r_free,refmac,phenix,1GPQ,phenix,0.3077,0.2973
r_free,refmac,phenix,1GPQ,refmac,0.3056,0.298
r_free,refmac,phenix,1GPQ,torchref,0.2947,0.2896
r_free,refmac,phenix,1GQ8,phenix,0.2576,0.2515
r_free,refmac,phenix,1GQ8,refmac,0.2623,0.257
r_free,refmac,phenix,1GQ8,torchref,0.255,0.2485
r_free,refmac,phenix,1GQ9,phenix,0.3502,0.3345
r_free,refmac,phenix,1GQ9,refmac,0.3229,0.3145
r_free,refmac,phenix,1GQ9,torchref,0.3934,0.388
r_free,refmac,phenix,1GUI,phenix,0.323,0.3144
r_free,refmac,phenix,1GUI,refmac,0.3255,0.3155
r_free,refmac,phenix,1GUI,torchref,0.3197,0.3117
r_free,refmac,phenix,1GYJ,phenix,0.3181,0.2932
r_free,refmac,phenix,1GYJ,refmac,0.3291,0.3093
r_free,refmac,phenix,1GYJ,torchref,0.3259,0.3171
