code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,d_min,n_atoms,delta_rwork,delta_rfree
6A0C,0.212800,0.262000,0.205300,0.226200,1.150818,702,0.750000,3.580000
6GPZ,0.203400,0.233100,0.211200,0.221500,1.242466,1125,-0.780000,1.160000
2EU9,0.227200,0.260900,0.216000,0.240400,1.399979,3195,1.120000,2.050000
5JD9,0.201200,0.242900,0.192400,0.221000,1.400773,3391,0.880000,2.190000
6N7O,0.205600,0.243800,0.205700,0.225000,1.469941,729,-0.010000,1.880000
1Z3X,0.197200,0.228700,0.183800,0.207000,1.499852,2370,1.340000,2.170000
5K2X,0.184600,0.214300,0.160700,0.184900,1.499946,3620,2.390000,2.940000
5LW0,0.173800,0.199100,0.175900,0.192800,1.499985,3664,-0.210000,0.630000
3RPD,0.224300,0.243700,0.178500,0.194600,1.500001,6494,4.580000,4.910000
1P3C,0.160700,0.200800,0.163900,0.197900,1.500004,1813,-0.320000,0.290000
3CXM,0.190600,0.220300,0.184400,0.195900,1.500005,2288,0.620000,2.440000
2DQ6,0.228000,0.256400,0.173700,0.185200,1.500006,8066,5.430000,7.120000
5IQM,0.185800,0.233000,0.169900,0.205100,1.500007,2693,1.590000,2.790000
5G4I,0.218400,0.240000,0.180600,0.196500,1.500008,7107,3.780000,4.350000
4V15,0.202100,0.219700,0.162500,0.183300,1.500009,6789,3.960000,3.640000
3OC7,0.192400,0.239700,0.186100,0.205100,1.500012,2103,0.630000,3.460000
3CH0,0.178600,0.211500,0.169800,0.198300,1.500012,2775,0.880000,1.320000
2I53,0.190900,0.222100,0.201400,0.229100,1.500012,2337,-1.050000,-0.700000
2YN0,0.212100,0.241900,0.198400,0.215000,1.500022,2381,1.370000,2.690000
3ER7,0.197300,0.241200,0.196300,0.221300,1.500051,2283,0.100000,1.990000
5NTB,0.167000,0.213100,0.170600,0.200300,1.500053,1976,-0.360000,1.280000
1A4I,0.203700,0.244800,0.196300,0.220500,1.500611,4899,0.740000,2.430000
3BGU,0.258200,0.284300,0.227000,0.250700,1.500741,1951,3.120000,3.360000
3D49,0.215800,0.242600,0.208100,0.224600,1.501934,2578,0.770000,1.800000
4QXL,0.212600,0.272800,0.215700,0.237300,1.511846,941,-0.310000,3.550000
2GUH,0.187700,0.227500,0.176300,0.201400,1.519005,3571,1.140000,2.610000
6K93,0.182500,0.222600,0.193000,0.216800,1.530017,2347,-1.050000,0.580000
6Z1S,0.192600,0.232200,0.182700,0.241100,1.532468,3441,0.990000,-0.890000
2QML,0.183900,0.248900,0.190100,0.226100,1.548850,1872,-0.620000,2.280000
5EG2,0.191100,0.223700,0.197300,0.208100,1.548965,2282,-0.620000,1.560000
5YAY,0.208000,0.262100,0.229400,0.262700,1.549813,2111,-2.140000,-0.060000
1WTJ,0.199400,0.228400,0.183900,0.198600,1.550000,5674,1.550000,2.980000
3G39,0.165300,0.223700,0.171600,0.193500,1.550753,1416,-0.630000,3.020000
5I2H,0.225900,0.263000,0.206900,0.235300,1.550985,5998,1.900000,2.770000
2QHL,0.197200,0.236100,0.198900,0.220200,1.560241,5284,-0.170000,1.590000
3N55,0.190100,0.224700,0.195700,0.216700,1.568706,1110,-0.560000,0.800000
6WI4,0.275400,0.321700,0.240400,0.281500,1.570586,4404,3.500000,4.020000
1JU3,0.192200,0.238100,0.196700,0.225000,1.583364,4904,-0.450000,1.310000
2HXW,0.191200,0.226100,0.184300,0.198500,1.583993,4003,0.690000,2.760000
1WLZ,0.211700,0.250900,0.190900,0.220500,1.596113,3200,2.080000,3.040000
1ZZ0,0.194200,0.215400,0.165700,0.185700,1.596351,12316,2.850000,2.970000
7DVN,0.207700,0.284500,0.238500,0.251600,1.597146,1261,-3.080000,3.290000
3EIW,0.192100,0.216700,0.165700,0.189400,1.597813,2787,2.640000,2.730000
1GPQ,0.215600,0.261600,0.183300,0.222700,1.597966,4558,3.230000,3.890000
4RO5,0.223400,0.251800,0.199200,0.211200,1.598004,3174,2.420000,4.060000
5Z6D,0.197700,0.259500,0.215600,0.260800,1.598011,3488,-1.790000,-0.130000
2BUO,0.227700,0.335000,0.223400,0.298000,1.598183,894,0.430000,3.700000
5B5I,0.181300,0.202300,0.195200,0.200600,1.599271,1128,-1.390000,0.170000
3LW3,0.208500,0.258500,0.214200,0.236300,1.599408,2150,-0.570000,2.220000
1L9X,0.178200,0.223500,0.173000,0.198200,1.599637,10370,0.520000,2.530000
3QLA,0.195400,0.219900,0.170600,0.189900,1.599850,2630,2.480000,3.000000
3CB0,0.238300,0.261600,0.192000,0.217200,1.600001,6231,4.630000,4.440000
3NYY,0.176700,0.208900,0.164000,0.196500,1.600003,2453,1.270000,1.240000
4U7A,0.180400,0.218000,0.193500,0.214800,1.600006,3302,-1.310000,0.320000
2D68,0.194300,0.236100,0.207400,0.226900,1.600008,1399,-1.310000,0.920000
3FJU,0.202000,0.230200,0.170300,0.195400,1.600016,3587,3.170000,3.480000
3W56,0.246100,0.289700,0.261300,0.301500,1.600016,1033,-1.520000,-1.180000
4L9U,0.259700,0.293900,0.268400,0.297700,1.600038,879,-0.870000,-0.380000
1TYJ,0.178300,0.231900,0.185500,0.217300,1.600129,1577,-0.720000,1.460000
1X6O,0.182500,0.215900,0.202600,0.226700,1.600176,1402,-2.010000,-1.080000
4K36,0.193100,0.221600,0.181700,0.217700,1.619001,6793,1.140000,0.390000
3M1T,0.226300,0.261600,0.217800,0.237800,1.620274,2469,0.850000,2.380000
3FPR,0.197800,0.239100,0.229000,0.253000,1.630049,1418,-3.120000,-1.390000
2PQV,0.195200,0.257300,0.194600,0.224700,1.634705,2900,0.060000,3.260000
