engine,code,r_work,r_free
ml_noalpha,1A0F,0.2172,0.2493
ml_noalpha,1A46,0.3452,0.3598
ml_noalpha,1A4I,0.3048,0.3609
ml_noalpha,1A7V,0.2365,0.311
ml_noalpha,1AJ6,0.3181,0.3692
ml_noalpha,1AK5,0.2058,0.2287
ml_noalpha,1ANU,0.1999,0.2757
ml_noalpha,1APX,0.2611,0.3125
ml_noalpha,1AQZ,0.225,0.2738
ml_noalpha,1AT0,0.2765,0.3356
ml_noalpha,1B9K,0.2183,0.2734
ml_noalpha,1BIA,0.2806,0.3516
ml_noalpha,1BM7,0.204,0.2486
ml_noalpha,1BQG,0.2129,0.2397
ml_noalpha,1BX0,0.2255,0.2798
ml_noalpha,1BXE,0.3084,0.332
ml_noalpha,1BYW,0.2383,0.2624
ml_noalpha,1C3F,0.2503,0.3057
ml_noalpha,1CI0,0.2489,0.2861
ml_noalpha,1CSM,0.2092,0.2506
ml_noalpha,1DAW,0.2548,0.3081
ml_noalpha,1DLM,0.2177,0.2689
ml_noalpha,1DQ3,0.3218,0.3797
ml_noalpha,1DQ8,0.2117,0.2949
ml_noalpha,1E79,0.37,0.3897
ml_noalpha,1EJ1,0.2565,0.3154
ml_noalpha,1EJH,0.2585,0.3046
ml_noalpha,1ETE,0.2778,0.3565
ml_noalpha,1EZW,0.2324,0.246
ml_noalpha,1F97,0.2411,0.2723
ml_noalpha,1FG3,0.2452,0.3069
ml_noalpha,1FIO,0.3847,0.4277
ml_noalpha,1FKM,0.2669,0.31
ml_noalpha,1FSI,0.2837,0.3294
ml_noalpha,1GHW,0.3396,0.4059
ml_noalpha,1GPQ,0.2412,0.2866
ml_noalpha,1GQ8,0.2295,0.2519
ml_noalpha,1GQ9,0.4001,0.3938
ml_noalpha,1GUI,0.2735,0.3122
ml_noalpha,1GYJ,0.2571,0.3108
ml_noalpha,1H8V,0.2423,0.2914
ml_noalpha,1HN0,0.2345,0.2807
ml_noalpha,1HNO,0.2231,0.2576
ml_noalpha,1HTN,0.1844,0.2051
ml_noalpha,1I1N,0.2504,0.2841
ml_noalpha,1I3A,0.2753,0.3511
ml_noalpha,1IDQ,0.1972,0.227
ml_noalpha,1IKN,0.3592,0.4075
ml_noalpha,1ITK,0.2461,0.2973
ml_noalpha,1J3P,0.2368,0.2755
ml_noalpha,1J53,0.2829,0.3222
ml_noalpha,1J5W,0.2631,0.3226
ml_noalpha,1J8B,0.3754,0.415
ml_noalpha,1JAC,0.2506,0.3287
ml_noalpha,1JAD,0.3421,0.3822
ml_noalpha,1JN9,0.537,0.5492
ml_noalpha,1JU3,0.2398,0.2654
ml_noalpha,1K6D,0.2406,0.2839
ml_noalpha,1K7T,0.2716,0.325
ml_noalpha,1L9X,0.2181,0.2474
ml_noalpha,1LNZ,0.4318,0.473
