metric,reference,code,d_min,delta_pp
R-work,PHENIX,2EU9,1.399979,-1.4
R-work,PHENIX,5JD9,1.400773,-1.14
R-work,PHENIX,1Z3X,1.499852,-0.95
R-work,PHENIX,1I1N,1.499858,-1.12
R-work,PHENIX,5K2X,1.499946,-0.79
R-work,PHENIX,1UKV,1.499959,-1.44
R-work,PHENIX,5LW0,1.499985,-1.08
R-work,PHENIX,1P3C,1.500004,-0.69
R-work,PHENIX,3CXM,1.500005,-1.22
R-work,PHENIX,2DQ6,1.500006,-1.02
R-work,PHENIX,5IQM,1.500007,-0.77
R-work,PHENIX,5G4I,1.500008,-1.62
R-work,PHENIX,6TT5,1.500008,-1.45
R-work,PHENIX,4V15,1.500009,-1.06
R-work,PHENIX,3OC7,1.500012,-1.35
R-work,PHENIX,2I53,1.500012,-0.99
R-work,PHENIX,2YN0,1.500022,-0.81
R-work,PHENIX,5NTB,1.500053,-0.72
R-work,PHENIX,1A4I,1.500611,-1.51
R-work,PHENIX,3BGU,1.500741,-0.89
R-work,PHENIX,3D49,1.501934,-2.47
R-work,PHENIX,6E0M,1.518222,-1.72
R-work,PHENIX,2GUH,1.519005,-0.35
R-work,PHENIX,6Z1S,1.532468,-0.91
R-work,PHENIX,2QML,1.54885,-0.47
R-work,PHENIX,5EG2,1.548965,-0.98
R-work,PHENIX,5YAY,1.549813,-0.75
R-work,PHENIX,1WTJ,1.55,-2.03
R-work,PHENIX,3G39,1.550753,-0.54
R-work,PHENIX,5I2H,1.550985,-0.94
R-work,PHENIX,5OF1,1.558022,-3.55
R-work,PHENIX,2QHL,1.560241,-0.49
R-work,PHENIX,3N55,1.568706,-0.8
R-work,PHENIX,1JU3,1.583364,-0.47
R-work,PHENIX,2HXW,1.583993,-1.24
R-work,PHENIX,1WLZ,1.596113,-0.78
R-work,PHENIX,1ZZ0,1.596351,-0.87
R-work,PHENIX,1GPQ,1.597966,-0.98
R-work,PHENIX,4RO5,1.598004,0.05
R-work,PHENIX,5Z6D,1.598011,-1.15
R-work,PHENIX,5B5I,1.599271,-0.58
R-work,PHENIX,3LW3,1.599408,-0.42
R-work,PHENIX,1L9X,1.599637,-0.62
R-work,PHENIX,3QLA,1.59985,-0.9
R-work,PHENIX,3CB0,1.600001,-0.88
R-work,PHENIX,3L1W,1.600001,-0.5
R-work,PHENIX,5BOV,1.600001,-0.58
R-work,PHENIX,4U7A,1.600006,-0.86
R-work,PHENIX,2D68,1.600008,-0.61
R-work,PHENIX,3FJU,1.600016,-0.13
R-work,PHENIX,3W56,1.600016,-1.19
R-work,PHENIX,4L9U,1.600038,4.62
R-work,PHENIX,1AQZ,1.60011,-0.06
R-work,PHENIX,1X6O,1.600176,-1.31
R-work,PHENIX,3HL0,1.601,-1.2
R-work,PHENIX,6W9K,1.604448,-1.68
R-work,PHENIX,4K36,1.619001,-0.66
R-work,PHENIX,3M1T,1.620274,-1.35
R-work,PHENIX,4CE5,1.630009,-0.55
R-work,PHENIX,3FPR,1.630049,-2.89
R-work,PHENIX,2PQV,1.634705,-1.13
R-work,PHENIX,4KYQ,1.643029,-1.12
R-work,PHENIX,6FJU,1.647491,-0.77
R-work,PHENIX,3RLE,1.648703,-0.1
R-work,PHENIX,1EZW,1.649843,-0.89
R-work,PHENIX,4UWX,1.650005,-4.25
R-work,PHENIX,6SRB,1.650018,-0.97
R-work,PHENIX,2A9S,1.652399,-0.54
R-work,PHENIX,1W2Y,1.653174,-0.81
R-work,PHENIX,1O6D,1.662573,-0.46
R-work,PHENIX,1ZKL,1.669472,-0.8
R-work,PHENIX,2WNH,1.682018,-0.72
R-work,PHENIX,2W9Y,1.682365,-0.58
R-work,PHENIX,3CBM,1.685541,-1.91
R-work,PHENIX,3GF6,1.690009,-0.24
R-work,PHENIX,3MQ2,1.690016,-0.42
R-work,PHENIX,6I50,1.690076,-0.55
R-work,PHENIX,3ED4,1.696001,-0.61
R-work,PHENIX,2ZON,1.696004,-0.45
R-work,PHENIX,4DOV,1.696091,-1.18
R-work,PHENIX,2RH3,1.697875,0.0
R-work,PHENIX,1PXZ,1.698273,-0.75
R-work,PHENIX,3EFY,1.698319,-1.11
R-work,PHENIX,5T0K,1.698405,-0.69
R-work,PHENIX,1WDV,1.6986,-0.44
R-work,PHENIX,6IIW,1.698696,-0.09
R-work,PHENIX,2PN0,1.699004,-0.52
R-work,PHENIX,1BXE,1.699449,-1.91
R-work,PHENIX,3ADO,1.699452,-0.63
R-work,PHENIX,3VFO,1.699943,0.89
R-work,PHENIX,2CCH,1.699979,-4.0
R-work,PHENIX,4JHN,1.700004,-0.55
R-work,PHENIX,3D1M,1.700011,-0.73
R-work,PHENIX,3QNM,1.700013,-0.47
R-work,PHENIX,2FTX,1.700024,-1.77
R-work,PHENIX,6RSN,1.700026,-1.07
R-work,PHENIX,5B5Q,1.700037,-0.17
R-work,PHENIX,4OX3,1.700041,-0.52
R-work,PHENIX,2R6R,1.700069,-0.28
R-work,PHENIX,4CLF,1.700099,-1.58
R-work,PHENIX,3U2A,1.700111,-1.05
R-work,PHENIX,2FEX,1.700716,-0.22
R-work,PHENIX,2V62,1.700954,-0.63
R-work,PHENIX,1QD9,1.701401,2.08
R-work,PHENIX,6O6N,1.701629,-0.99
R-work,PHENIX,3PFY,1.702065,-2.05
R-work,PHENIX,2PY2,1.703674,-0.69
R-work,PHENIX,1GHW,1.70689,-0.89
R-work,PHENIX,5UXG,1.720241,-0.36
R-work,PHENIX,3GMV,1.747812,6.71
R-work,PHENIX,4N39,1.748001,-3.11
R-work,PHENIX,1J8B,1.748015,-1.57
R-work,PHENIX,2W3X,1.748764,-1.27
R-work,PHENIX,3WNV,1.750002,-0.72
R-work,PHENIX,4RQM,1.750004,-1.33
R-work,PHENIX,1GQ8,1.750021,-1.06
R-work,PHENIX,2F1F,1.75003,-1.96
R-work,PHENIX,2X26,1.750044,0.98
R-work,PHENIX,3DJD,1.750215,-0.64
R-work,PHENIX,1XX1,1.750353,-0.53
R-work,PHENIX,3VST,1.750499,-0.91
R-work,PHENIX,4QN8,1.750647,-0.48
R-work,PHENIX,3IVB,1.751139,-4.11
R-work,PHENIX,4LZ2,1.760154,-0.76
R-work,PHENIX,4PV4,1.764006,-0.36
R-work,PHENIX,5VIA,1.764029,-0.37
R-work,PHENIX,4HUJ,1.766539,-0.74
R-work,PHENIX,6TCT,1.767038,-0.6
R-work,PHENIX,1O4V,1.77002,-1.0
R-work,PHENIX,3IUG,1.770029,-1.03
R-work,PHENIX,2DX6,1.778863,0.62
R-work,PHENIX,4XLG,1.780034,-1.32
R-work,PHENIX,4O62,1.780107,-0.88
R-work,PHENIX,5XG9,1.782638,-0.44
R-work,PHENIX,1T3I,1.789405,-0.38
R-work,PHENIX,2OO2,1.794654,-0.64
R-work,PHENIX,1J53,1.794693,0.27
R-work,PHENIX,2DRY,1.795981,-0.48
R-work,PHENIX,1RHC,1.797877,-0.84
R-work,PHENIX,5WWW,1.79795,-1.06
R-work,PHENIX,2QH9,1.798456,-0.81
R-work,PHENIX,3VPB,1.798493,-0.77
R-work,PHENIX,4RK2,1.798967,0.5
R-work,PHENIX,3EUS,1.799012,-0.86
R-work,PHENIX,3RQ4,1.799024,-1.02
R-work,PHENIX,6GXS,1.799947,-0.35
R-work,PHENIX,4F0F,1.799957,-1.36
R-work,PHENIX,2YFA,1.799994,-0.16
R-work,PHENIX,1J5W,1.800001,-0.47
R-work,PHENIX,2PAV,1.800001,-0.62
R-work,PHENIX,2XVS,1.800005,0.18
R-work,PHENIX,4ZSF,1.800006,0.15
R-work,PHENIX,4QKO,1.800006,-0.16
R-work,PHENIX,2CCM,1.800007,-0.4
R-work,PHENIX,3KGR,1.800008,-0.46
R-work,PHENIX,3GLR,1.800012,-2.65
R-work,PHENIX,1TGS,1.800015,-0.27
R-work,PHENIX,3U1D,1.800016,-0.81
R-work,PHENIX,3BCI,1.80002,-0.93
R-work,PHENIX,2VEF,1.80002,-0.55
R-work,PHENIX,1RJD,1.800033,-0.79
R-work,PHENIX,2G9W,1.800051,-0.17
R-work,PHENIX,2P38,1.800052,-0.94
R-work,PHENIX,4DA2,1.800057,-0.76
R-work,PHENIX,5HRJ,1.800059,-0.49
R-work,PHENIX,3G6L,1.800069,0.48
R-work,PHENIX,6CW5,1.800076,-0.99
R-work,PHENIX,3LS0,1.800145,-0.23
R-work,PHENIX,5T1G,1.800145,-1.48
R-work,PHENIX,1UVQ,1.801435,-1.69
R-work,PHENIX,6UB7,1.801869,-1.16
R-work,PHENIX,2EO4,1.801961,-1.25
R-work,PHENIX,3M91,1.802052,-2.21
R-work,PHENIX,2ZUL,1.802856,0.68
R-work,PHENIX,3SOL,1.804158,-0.49
R-work,PHENIX,2QOS,1.805731,-0.64
R-work,PHENIX,5OF9,1.806897,-0.49
