metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_work,refmac,torchref,1A0F,phenix,0.2255,0.229809
r_work,refmac,torchref,1A0F,refmac,0.2201,0.224913
r_work,refmac,torchref,1A0F,torchref,0.2192,0.222383
r_work,refmac,torchref,1A46,phenix,0.3125,0.344696
r_work,refmac,torchref,1A46,refmac,0.3205,0.357085
r_work,refmac,torchref,1A46,torchref,0.3215,0.360411
r_work,refmac,torchref,1A4E,phenix,0.2007,0.212098
r_work,refmac,torchref,1A4E,refmac,0.1942,0.209862
r_work,refmac,torchref,1A4I,phenix,0.3194,0.35322
r_work,refmac,torchref,1A4I,refmac,0.3386,0.37316
r_work,refmac,torchref,1A4I,torchref,0.3034,0.336488
r_work,refmac,torchref,1A7V,phenix,0.2311,0.232918
r_work,refmac,torchref,1A7V,refmac,0.2358,0.242856
r_work,refmac,torchref,1A7V,torchref,0.2521,0.25364
r_work,refmac,torchref,1AJ6,phenix,0.2852,0.285732
r_work,refmac,torchref,1AJ6,refmac,0.3334,0.335681
r_work,refmac,torchref,1AJ6,torchref,0.2921,0.290532
r_work,refmac,torchref,1AK5,phenix,0.2174,0.219696
r_work,refmac,torchref,1AK5,refmac,0.2086,0.212958
r_work,refmac,torchref,1AK5,torchref,0.2096,0.210753
r_work,refmac,torchref,1ANU,phenix,0.2002,0.216051
r_work,refmac,torchref,1ANU,refmac,0.1949,0.213062
r_work,refmac,torchref,1ANU,torchref,0.1991,0.211432
r_work,refmac,torchref,1APX,phenix,0.2463,0.259221
r_work,refmac,torchref,1APX,refmac,0.2514,0.265293
r_work,refmac,torchref,1APX,torchref,0.2554,0.266545
r_work,refmac,torchref,1AQZ,phenix,0.2351,0.237419
r_work,refmac,torchref,1AQZ,refmac,0.2321,0.234907
r_work,refmac,torchref,1AQZ,torchref,0.2348,0.236027
r_work,refmac,torchref,1AT0,refmac,0.2829,0.288386
r_work,refmac,torchref,1AT0,torchref,0.2815,0.286233
r_work,refmac,torchref,1B37,phenix,0.2607,0.270168
r_work,refmac,torchref,1B37,refmac,0.2566,0.265709
r_work,refmac,torchref,1B9K,phenix,0.238,0.240681
r_work,refmac,torchref,1B9K,refmac,0.2417,0.244884
r_work,refmac,torchref,1B9K,torchref,0.2345,0.236297
