engine,code,r_work,r_free
prediction,1A0F,0.3701,0.3575
prediction,1A46,0.4369,0.413
prediction,1A4I,0.5012,0.5204
prediction,1A7V,0.3327,0.3823
prediction,1AJ6,0.432,0.3985
prediction,1AK5,0.3673,0.3717
prediction,1ANU,0.3724,0.378
prediction,1APX,0.3391,0.3553
prediction,1AQZ,0.3626,0.35
prediction,1B9K,0.4123,0.4404
prediction,1BIA,0.4421,0.4233
prediction,1BM7,0.3341,0.3333
prediction,1BX0,0.3603,0.381
prediction,1BXE,0.4609,0.4198
prediction,1BYW,0.392,0.3415
prediction,1C3F,0.3508,0.3809
prediction,1CI0,0.4078,0.3792
prediction,1CSM,0.3032,0.2929
prediction,1DAW,0.3832,0.3745
prediction,1DLM,0.377,0.3748
prediction,1DQ3,0.4659,0.4776
prediction,1DQ8,0.3268,0.318
prediction,1e+79,0.4654,0.4442
prediction,1EJ1,0.4005,0.3817
prediction,1EJH,0.3858,0.3714
prediction,1ETE,0.3843,0.4183
prediction,1EZW,0.3588,0.3417
prediction,1F97,0.3881,0.337
prediction,1FG3,0.3717,0.4024
prediction,1FIO,0.4874,0.4763
prediction,1FKM,0.3817,0.3863
prediction,1FSI,0.4154,0.4053
prediction,1GHW,0.4457,0.4714
prediction,1GPQ,0.4213,0.4512
prediction,1GQ8,0.3669,0.3639
prediction,1GQ9,0.4277,0.4331
prediction,1GUI,0.3902,0.3928
prediction,1GYJ,0.3882,0.4126
prediction,1H8V,0.3675,0.3655
prediction,1HN0,0.418,0.4077
prediction,1HNO,0.3624,0.3789
prediction,1HTN,0.3217,0.316
prediction,1I1N,0.4037,0.4177
prediction,1I3A,0.4165,0.4425
prediction,1IDQ,0.2944,0.2921
prediction,1IKN,0.4441,0.4389
prediction,1ITK,0.3655,0.3739
prediction,1J3P,0.3782,0.3854
prediction,1J53,0.409,0.3842
prediction,1J5W,0.4044,0.4047
prediction,1J8B,0.4842,0.498
prediction,1JAC,0.3173,0.341
prediction,1JAD,0.4546,0.4608
prediction,1JN9,0.4826,0.4928
prediction,1JU3,0.3253,0.3281
prediction,1K6D,0.3958,0.3821
prediction,1K7T,0.3686,0.3689
prediction,1L9X,0.3336,0.3324
prediction,1LNZ,0.4688,0.467
prediction,1M6E,0.3275,0.2995
prediction,1N0L,0.4254,0.4069
prediction,1N6J,0.4767,0.4756
prediction,1O4V,0.31,0.3007
prediction,1O5T,0.4582,0.4779
prediction,1O6D,0.377,0.3983
prediction,1OBR,0.3017,0.2852
prediction,1OC0,0.431,0.4396
prediction,1OE4,0.3553,0.3425
prediction,1OMW,0.4001,0.4404
prediction,1OSC,0.319,0.3113
prediction,1OY5,0.457,0.4535
prediction,1P3C,0.3265,0.3429
prediction,1P4X,0.5094,0.5049
prediction,1PG3,0.3248,0.3199
prediction,1PJR,0.5007,0.492
prediction,1PXZ,0.3275,0.3288
prediction,1Q15,0.4377,0.4343
prediction,1QB5,0.3527,0.3391
prediction,1QD9,0.3883,0.4007
prediction,1QJV,0.3116,0.3248
prediction,1QZN,0.3779,0.3994
prediction,1R1K,0.402,0.4095
prediction,1R3U,0.3353,0.3639
prediction,1RFX,0.4584,0.4462
prediction,1RHC,0.4018,0.4098
prediction,1RJ1,0.3933,0.4147
prediction,1RJD,0.3851,0.389
prediction,1RKG,0.3822,0.4118
prediction,1RZN,0.3796,0.3725
prediction,1S1C,0.3936,0.4231
prediction,1SO2,0.3399,0.3151
prediction,1SOT,0.4639,0.4778
prediction,1T3I,0.3645,0.3697
prediction,1TE5,0.4319,0.4039
prediction,1TGS,0.3573,0.3808
prediction,1TML,0.3032,0.2762
