code,rwork_torchref,rfree_torchref,rwork_phenix,rfree_phenix,rwork_refmac,rfree_refmac,d_min,delta_rwork_phenix,delta_rfree_phenix,delta_rwork_refmac,delta_rfree_refmac
2EU9,0.260900,0.292100,0.274900,0.294900,0.259400,0.284400,1.399979,-1.400000,-0.280000,0.150000,0.770000
5JD9,0.255000,0.293200,0.266400,0.291900,0.263200,0.296000,1.400773,-1.140000,0.130000,-0.820000,-0.280000
1Z3X,0.253600,0.282300,0.263100,0.281100,0.256900,0.277800,1.499852,-0.950000,0.120000,-0.330000,0.450000
1I1N,0.247300,0.277900,0.258500,0.278200,0.260500,0.285600,1.499858,-1.120000,-0.030000,-1.320000,-0.770000
5K2X,0.369400,0.387500,0.377300,0.389800,0.376800,0.396800,1.499946,-0.790000,-0.230000,-0.740000,-0.930000
1UKV,0.302600,0.341800,0.317000,0.351500,0.327500,0.360600,1.499959,-1.440000,-0.970000,-2.490000,-1.880000
5LW0,0.241900,0.274600,0.252700,0.271400,0.244700,0.267800,1.499985,-1.080000,0.320000,-0.280000,0.680000
1P3C,0.189000,0.224600,0.195900,0.224400,0.189800,0.225800,1.500004,-0.690000,0.020000,-0.080000,-0.120000
3CXM,0.242800,0.262300,0.255000,0.260100,0.245000,0.262500,1.500005,-1.220000,0.220000,-0.220000,-0.020000
2DQ6,0.247700,0.268100,0.257900,0.273000,0.253400,0.270900,1.500006,-1.020000,-0.490000,-0.570000,-0.280000
5IQM,0.299300,0.325600,0.307000,0.329300,0.304900,0.321800,1.500007,-0.770000,-0.370000,-0.560000,0.380000
5G4I,0.241200,0.256900,0.257400,0.266200,0.246800,0.259400,1.500008,-1.620000,-0.930000,-0.560000,-0.250000
6TT5,0.259600,0.295600,0.274100,0.303500,0.264600,0.297600,1.500008,-1.450000,-0.790000,-0.500000,-0.200000
4V15,0.234200,0.261700,0.244800,0.265300,0.239000,0.260000,1.500009,-1.060000,-0.360000,-0.480000,0.170000
3OC7,0.222200,0.250600,0.235700,0.257400,0.228800,0.252400,1.500012,-1.350000,-0.680000,-0.660000,-0.180000
2I53,0.228500,0.256200,0.238400,0.252500,0.231300,0.256300,1.500012,-0.990000,0.370000,-0.280000,-0.010000
2YN0,0.243200,0.274000,0.251300,0.273100,0.252400,0.273700,1.500022,-0.810000,0.090000,-0.920000,0.030000
5NTB,0.224400,0.237900,0.231600,0.245400,0.227400,0.239300,1.500053,-0.720000,-0.750000,-0.300000,-0.140000
1A4I,0.299100,0.344300,0.314200,0.352700,0.334100,0.379100,1.500611,-1.510000,-0.840000,-3.500000,-3.480000
3BGU,0.320600,0.359400,0.329500,0.362400,0.326900,0.359900,1.500741,-0.890000,-0.300000,-0.630000,-0.050000
3D49,0.357200,0.359400,0.381900,0.394800,0.382500,0.400500,1.501934,-2.470000,-3.540000,-2.530000,-4.110000
6E0M,0.278100,0.295600,0.295300,0.316800,0.293000,0.319100,1.518222,-1.720000,-2.120000,-1.490000,-2.350000
2GUH,0.341200,0.362900,0.344700,0.362800,0.343800,0.363000,1.519005,-0.350000,0.010000,-0.260000,-0.010000
6Z1S,0.265400,0.309200,0.274500,0.317400,0.290100,0.326600,1.532468,-0.910000,-0.820000,-2.470000,-1.740000
2QML,0.314400,0.353400,0.319100,0.358900,0.313700,0.348700,1.548850,-0.470000,-0.550000,0.070000,0.470000
5EG2,0.247100,0.262900,0.256900,0.265300,0.248900,0.254100,1.548965,-0.980000,-0.240000,-0.180000,0.880000
5YAY,0.287700,0.317900,0.295200,0.313500,0.291700,0.317300,1.549813,-0.750000,0.440000,-0.400000,0.060000
1WTJ,0.247500,0.274000,0.267800,0.288700,0.250900,0.274100,1.550000,-2.030000,-1.470000,-0.340000,-0.010000
3G39,0.228900,0.245200,0.234300,0.249000,0.228200,0.248400,1.550753,-0.540000,-0.380000,0.070000,-0.320000
5I2H,0.266800,0.281900,0.276200,0.279000,0.282600,0.299200,1.550985,-0.940000,0.290000,-1.580000,-1.730000
5OF1,0.299300,0.349700,0.334800,0.366800,0.300900,0.329000,1.558022,-3.550000,-1.710000,-0.160000,2.070000
2QHL,0.263400,0.278400,0.268300,0.276200,0.277300,0.292200,1.560241,-0.490000,0.220000,-1.390000,-1.380000
3N55,0.293900,0.304200,0.301900,0.304500,0.297700,0.300500,1.568706,-0.800000,-0.030000,-0.380000,0.370000
1JU3,0.237500,0.264900,0.242200,0.261000,0.241200,0.262400,1.583364,-0.470000,0.390000,-0.370000,0.250000
2HXW,0.270500,0.294700,0.282900,0.298900,0.275700,0.292600,1.583993,-1.240000,-0.420000,-0.520000,0.210000
1WLZ,0.272900,0.294600,0.280700,0.300500,0.282800,0.296400,1.596113,-0.780000,-0.590000,-0.990000,-0.180000
1ZZ0,0.222300,0.246100,0.231000,0.250300,0.225800,0.245100,1.596351,-0.870000,-0.420000,-0.350000,0.100000
1GPQ,0.243000,0.289600,0.252800,0.297300,0.253600,0.298000,1.597966,-0.980000,-0.770000,-1.060000,-0.840000
4RO5,0.383800,0.419400,0.383300,0.419800,0.395400,0.433900,1.598004,0.050000,-0.040000,-1.160000,-1.450000
5Z6D,0.237400,0.279900,0.248900,0.286900,0.249800,0.285000,1.598011,-1.150000,-0.700000,-1.240000,-0.510000
5B5I,0.461900,0.518400,0.467700,0.508900,0.454900,0.486800,1.599271,-0.580000,0.950000,0.700000,3.160000
3LW3,0.252000,0.268000,0.256200,0.263300,0.256900,0.270600,1.599408,-0.420000,0.470000,-0.490000,-0.260000
1L9X,0.216000,0.245700,0.222200,0.245700,0.218100,0.243600,1.599637,-0.620000,0.000000,-0.210000,0.210000
3QLA,0.350100,0.383000,0.359100,0.389700,0.399800,0.417000,1.599850,-0.900000,-0.670000,-4.970000,-3.400000
3CB0,0.249700,0.276100,0.258500,0.279200,0.258300,0.283200,1.600001,-0.880000,-0.310000,-0.860000,-0.710000
3L1W,0.243200,0.269600,0.248200,0.270200,0.246700,0.267000,1.600001,-0.500000,-0.060000,-0.350000,0.260000
5BOV,0.239600,0.267700,0.245400,0.263900,0.245100,0.263900,1.600001,-0.580000,0.380000,-0.550000,0.380000
4U7A,0.235700,0.264800,0.244300,0.270400,0.234600,0.260500,1.600006,-0.860000,-0.560000,0.110000,0.430000
2D68,0.281800,0.262700,0.287900,0.271700,0.297200,0.267200,1.600008,-0.610000,-0.900000,-1.540000,-0.450000
3FJU,0.292900,0.310300,0.294200,0.305600,0.300000,0.311800,1.600016,-0.130000,0.470000,-0.710000,-0.150000
