metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_free,refmac,torchref,1A0F,phenix,0.2521,0.247052
r_free,refmac,torchref,1A0F,refmac,0.2485,0.24071
r_free,refmac,torchref,1A0F,torchref,0.2491,0.242057
r_free,refmac,torchref,1A46,phenix,0.3495,0.345449
r_free,refmac,torchref,1A46,refmac,0.3516,0.35259
r_free,refmac,torchref,1A46,torchref,0.3482,0.336845
r_free,refmac,torchref,1A4E,phenix,0.2308,0.233108
r_free,refmac,torchref,1A4E,refmac,0.2276,0.228952
r_free,refmac,torchref,1A4I,phenix,0.3572,0.353093
r_free,refmac,torchref,1A4I,refmac,0.3285,0.324271
r_free,refmac,torchref,1A4I,torchref,0.3493,0.346322
r_free,refmac,torchref,1A7V,phenix,0.307,0.315746
r_free,refmac,torchref,1A7V,refmac,0.2924,0.31092
r_free,refmac,torchref,1A7V,torchref,0.3049,0.312184
r_free,refmac,torchref,1AJ6,phenix,0.3358,0.335126
r_free,refmac,torchref,1AJ6,refmac,0.3295,0.323812
r_free,refmac,torchref,1AJ6,torchref,0.318,0.30733
r_free,refmac,torchref,1AK5,phenix,0.236,0.232712
r_free,refmac,torchref,1AK5,refmac,0.2287,0.227664
r_free,refmac,torchref,1AK5,torchref,0.2268,0.222854
r_free,refmac,torchref,1ANU,phenix,0.266,0.256947
r_free,refmac,torchref,1ANU,refmac,0.239,0.231956
r_free,refmac,torchref,1ANU,torchref,0.2555,0.248919
r_free,refmac,torchref,1APX,phenix,0.2948,0.294085
r_free,refmac,torchref,1APX,refmac,0.301,0.296976
r_free,refmac,torchref,1APX,torchref,0.2985,0.296693
r_free,refmac,torchref,1AQZ,phenix,0.2702,0.2659
r_free,refmac,torchref,1AQZ,refmac,0.2727,0.26566
r_free,refmac,torchref,1AQZ,torchref,0.28,0.274548
r_free,refmac,torchref,1AT0,refmac,0.3312,0.324791
r_free,refmac,torchref,1AT0,torchref,0.348,0.337893
r_free,refmac,torchref,1B37,phenix,0.2782,0.273676
r_free,refmac,torchref,1B37,refmac,0.2799,0.274205
r_free,refmac,torchref,1B9K,phenix,0.2809,0.275106
r_free,refmac,torchref,1B9K,refmac,0.2796,0.276726
r_free,refmac,torchref,1B9K,torchref,0.289,0.282313
r_free,refmac,torchref,1BIA,phenix,0.3547,0.348111
r_free,refmac,torchref,1BIA,refmac,0.3484,0.346547
r_free,refmac,torchref,1BIA,torchref,0.3579,0.358134
r_free,refmac,torchref,1BM7,phenix,0.2534,0.253699
r_free,refmac,torchref,1BM7,refmac,0.2456,0.247884
r_free,refmac,torchref,1BM7,torchref,0.2421,0.254161
r_free,refmac,torchref,1BQG,refmac,0.2372,0.233312
r_free,refmac,torchref,1BQG,torchref,0.2416,0.239949
r_free,refmac,torchref,1BX0,phenix,0.2848,0.281187
r_free,refmac,torchref,1BX0,refmac,0.2871,0.28128
r_free,refmac,torchref,1BX0,torchref,0.2813,0.280678
r_free,refmac,torchref,1BXE,phenix,0.3487,0.327287
r_free,refmac,torchref,1BXE,refmac,0.354,0.342949
r_free,refmac,torchref,1BXE,torchref,0.347,0.332544
r_free,refmac,torchref,1BYW,phenix,0.2524,0.268942
r_free,refmac,torchref,1BYW,refmac,0.2161,0.217678
r_free,refmac,torchref,1BYW,torchref,0.2358,0.243102
r_free,refmac,torchref,1C3F,phenix,0.3247,0.316125
r_free,refmac,torchref,1C3F,refmac,0.3158,0.309104
r_free,refmac,torchref,1C3F,torchref,0.3169,0.301625
r_free,refmac,torchref,1CI0,phenix,0.2902,0.282058
