code,n_protein_chains,n_chains_with_af,af_complete
138L,1,0,False
1A0F,2,2,True
1A46,3,3,True
1A4E,4,4,True
1A4I,2,2,True
1A7V,2,2,True
1AJ6,1,1,True
1AK5,1,1,True
1AM7,3,0,False
1ANU,1,1,True
1APX,4,4,True
1AQ3,3,0,False
1AQZ,2,2,True
1AT0,1,1,True
1B26,6,6,True
1B37,3,3,True
1B4F,8,8,True
1B89,1,1,True
1B9K,1,1,True
1BIA,1,1,True
1BM7,2,2,True
1BQG,1,1,True
1BX0,1,1,True
1BXE,1,1,True
1BYW,1,1,True
1C3F,1,1,True
1CI0,2,2,True
1CSM,2,2,True
1D9E,4,4,True
1DAW,1,1,True
1DLM,2,2,True
1DQ3,1,1,True
1DQ8,4,4,True
1DUG,2,2,True
1DYK,1,0,False
1E79,9,9,True
1EJ1,2,2,True
1EJH,8,8,True
1ETE,4,4,True
1EZW,1,1,True
1F2N,3,0,False
1F97,1,1,True
1FG3,1,1,True
1FIO,1,1,True
1FKM,1,1,True
1FSI,3,3,True
1G1F,2,1,False
1GHW,3,3,True
1GPQ,4,4,True
1GQ8,1,1,True
1GQ9,2,2,True
1GUI,1,1,True
1GYJ,2,2,True
1H8V,6,6,True
1HN0,1,1,True
1HNO,1,1,True
1HTN,1,1,True
1I1N,1,1,True
1I3A,1,1,True
1I3W,4,0,False
1IDQ,1,1,True
1IKN,3,3,True
1ITK,2,2,True
1J3P,2,2,True
1J53,1,1,True
1J5W,2,2,True
1J8B,1,1,True
1JAC,8,8,True
1JAD,2,2,True
1JN9,4,4,True
1JU3,1,1,True
1K47,6,6,True
1K6D,2,2,True
1K7T,2,2,True
1KDD,6,0,False
1L9X,4,4,True
1LNZ,2,2,True
1M6E,1,1,True
1N0L,4,4,True
1N0W,4,1,False
1N3N,12,8,False
1N6J,3,3,True
1NO4,4,0,False
1NU2,2,1,False
1O4V,1,1,True
1O5T,1,1,True
1O6D,1,1,True
1OBR,1,1,True
1OC0,2,2,True
1OE4,2,2,True
1OMW,3,3,True
1OQE,18,18,True
1OSC,6,6,True
1OY5,3,3,True
1P16,4,2,False
1P3C,1,1,True
1P4X,1,1,True
1PG3,2,2,True
1PJR,1,1,True
1PXZ,2,2,True
1Q15,4,4,True
1Q4K,6,3,False
1QB5,5,5,True
1QD9,3,3,True
1QJV,2,2,True
1QMY,3,0,False
1QT6,1,0,False
1QZN,1,1,True
1R1K,2,2,True
1R3U,2,2,True
1RFX,3,3,True
1RHC,1,1,True
1RJ1,1,1,True
1RJD,3,3,True
1RKG,2,2,True
1RYL,2,2,True
1RZN,2,2,True
1S1C,4,4,True
1SO2,4,4,True
1SOT,3,3,True
1SQS,2,2,True
