metric,scorer_x,scorer_y,code,model_engine,value_x,value_y
r_free,phenix,torchref,1A0F,phenix,0.2498,0.247052
r_free,phenix,torchref,1A0F,refmac,0.2419,0.24071
r_free,phenix,torchref,1A0F,torchref,0.2435,0.242057
r_free,phenix,torchref,1A46,phenix,0.3419,0.345449
r_free,phenix,torchref,1A46,refmac,0.3434,0.35259
r_free,phenix,torchref,1A46,torchref,0.3341,0.336845
r_free,phenix,torchref,1A4E,phenix,0.2341,0.233108
r_free,phenix,torchref,1A4E,refmac,0.2325,0.228952
r_free,phenix,torchref,1A4I,phenix,0.3533,0.353093
r_free,phenix,torchref,1A4I,refmac,0.3251,0.324271
r_free,phenix,torchref,1A4I,torchref,0.3449,0.346322
r_free,phenix,torchref,1A7V,phenix,0.3168,0.315746
r_free,phenix,torchref,1A7V,refmac,0.3038,0.31092
r_free,phenix,torchref,1A7V,torchref,0.3105,0.312184
r_free,phenix,torchref,1AJ6,phenix,0.3352,0.335126
r_free,phenix,torchref,1AJ6,refmac,0.3336,0.323812
r_free,phenix,torchref,1AJ6,torchref,0.3107,0.30733
r_free,phenix,torchref,1AK5,phenix,0.2311,0.232712
r_free,phenix,torchref,1AK5,refmac,0.2276,0.227664
r_free,phenix,torchref,1AK5,torchref,0.2206,0.222854
r_free,phenix,torchref,1ANU,phenix,0.2614,0.256947
r_free,phenix,torchref,1ANU,refmac,0.235,0.231956
r_free,phenix,torchref,1ANU,torchref,0.2464,0.248919
r_free,phenix,torchref,1APX,phenix,0.2916,0.294085
r_free,phenix,torchref,1APX,refmac,0.2937,0.296976
r_free,phenix,torchref,1APX,torchref,0.2942,0.296693
r_free,phenix,torchref,1AQZ,phenix,0.2653,0.2659
r_free,phenix,torchref,1AQZ,refmac,0.2662,0.26566
r_free,phenix,torchref,1AQZ,torchref,0.2717,0.274548
r_free,phenix,torchref,1AT0,refmac,0.3194,0.324791
r_free,phenix,torchref,1AT0,torchref,0.3336,0.337893
r_free,phenix,torchref,1B37,phenix,0.2742,0.273676
r_free,phenix,torchref,1B37,refmac,0.2746,0.274205
r_free,phenix,torchref,1B9K,phenix,0.269,0.275106
r_free,phenix,torchref,1B9K,refmac,0.2744,0.276726
r_free,phenix,torchref,1B9K,torchref,0.2772,0.282313
r_free,phenix,torchref,1BIA,phenix,0.3519,0.348111
r_free,phenix,torchref,1BIA,refmac,0.3515,0.346547
r_free,phenix,torchref,1BIA,torchref,0.3593,0.358134
r_free,phenix,torchref,1BM7,phenix,0.2511,0.253699
r_free,phenix,torchref,1BM7,refmac,0.2462,0.247884
r_free,phenix,torchref,1BM7,torchref,0.2511,0.254161
r_free,phenix,torchref,1BQG,refmac,0.235,0.233312
r_free,phenix,torchref,1BQG,torchref,0.2414,0.239949
r_free,phenix,torchref,1BX0,phenix,0.2816,0.281187
r_free,phenix,torchref,1BX0,refmac,0.283,0.28128
r_free,phenix,torchref,1BX0,torchref,0.2803,0.280678
r_free,phenix,torchref,1BXE,phenix,0.33,0.327287
