code,n_protein_chains,n_uniprot,seq_source,status
138L,1,1,local,ok
1A0F,2,1,local,ok
1A46,3,2,mixed,ok
1A4E,4,1,local,ok
1A4I,2,1,local,ok
1A7V,2,1,local,ok
1AJ6,1,1,local,ok
1AK5,1,1,local,ok
1AM7,3,1,local,ok
1ANU,1,1,local,ok
1APX,4,1,local,ok
1AQ3,3,1,rcsb,ok
1AQZ,2,1,rcsb,ok
1AT0,1,1,local,ok
1B26,6,1,rcsb,ok
1B37,3,1,local,ok
1B4F,8,1,rcsb,ok
1B89,1,1,local,ok
1B9K,1,1,local,ok
1BIA,1,1,local,ok
1BM7,2,1,local,ok
1BQG,1,1,local,ok
1BX0,1,1,local,ok
1BXE,1,1,local,ok
1BYW,1,1,local,ok
1C3F,1,1,local,ok
1CI0,2,1,local,ok
1CSM,2,1,local,ok
1D9E,4,1,local,ok
1DAW,1,1,local,ok
1DLM,2,1,local,ok
1DQ3,1,1,local,ok
1DQ8,4,1,local,ok
1DUG,2,1,local,ok
1DYK,1,1,local,ok
1E79,9,5,rcsb,ok
1EJ1,2,1,local,ok
1EJH,8,2,mixed,ok
1ETE,4,1,local,ok
1EZW,1,1,local,ok
1F2N,3,1,rcsb,ok
1F97,1,1,local,ok
1FG3,1,1,local,ok
1FIO,1,1,local,ok
1FKM,1,1,local,ok
1FSI,3,1,local,ok
1G1F,2,1,mixed,ok
1GHW,3,2,rcsb,ok
1GPQ,4,2,local,ok
1GQ8,1,1,local,ok
1GQ9,2,1,local,ok
1GUI,1,1,local,ok
1GYJ,2,1,local,ok
1H8V,6,1,local,ok
1HN0,1,1,local,ok
1HNO,1,1,local,ok
1HTN,1,1,local,ok
1I1N,1,1,local,ok
1I3A,1,1,local,ok
1I3W,4,0,rcsb,no_uniprot
1IDQ,1,1,local,ok
1IKN,3,3,local,ok
1ITK,2,1,local,ok
1J3P,2,1,local,ok
1J53,1,1,local,ok
1J5W,2,1,local,ok
1J8B,1,1,local,ok
1JAC,8,2,mixed,ok
1JAD,2,1,local,ok
1JN9,4,1,local,ok
1JU3,1,1,local,ok
1K47,6,1,local,ok
1K6D,2,1,local,ok
1K7T,2,1,local,ok
1KDD,6,0,local,no_uniprot
1L9X,4,1,local,ok
1LNZ,2,1,local,ok
1M6E,1,1,local,ok
1N0L,4,2,local,ok
1N0W,4,2,mixed,ok
1N3N,12,2,mixed,ok
1N6J,3,2,local,ok
1NO4,4,1,local,ok
1NU2,2,1,mixed,ok
1O4V,1,1,local,ok
1O5T,1,1,local,ok
1O6D,1,1,local,ok
1OBR,1,1,local,ok
1OC0,2,2,local,ok
1OE4,2,1,local,ok
1OMW,3,3,local,ok
1OQE,18,2,rcsb,ok
1OSC,6,1,local,ok
1OY5,3,1,local,ok
1P16,4,1,mixed,ok
1P3C,1,1,local,ok
1P4X,1,1,local,ok
1PG3,2,1,local,ok
1PJR,1,1,local,ok
1PXZ,2,1,local,ok
1Q15,4,1,local,ok
1Q4K,6,1,mixed,ok
1QB5,5,1,local,ok
1QD9,3,1,local,ok
1QJV,2,1,local,ok
1QMY,3,1,local,ok
1QT6,1,1,local,ok
1QZN,1,1,local,ok
1R1K,2,2,local,ok
1R3U,2,1,local,ok
1RFX,3,1,local,ok
1RHC,1,1,local,ok
1RJ1,1,1,local,ok
1RJD,3,1,local,ok
1RKG,2,2,mixed,ok
1RYL,2,1,local,ok
1RZN,2,1,local,ok
1S1C,4,2,local,ok
